Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,ASTEROIDEA,Asteroidea,17,27,5.66,1,NO_ANNOT,,,Exact,0,Asteroidea,Asteroidea,86,1,Catalogue of Life,
1,OPHIUROIDEA,Ophiuroidea,32,43,4.16,1,NO_ANNOT,,,Exact,0,Ophiuroidea,Ophiuroidea,FH,1,Catalogue of Life,
2,ASTEROIDEA.,Asteroidea,672,683,5.66,1,NO_ANNOT,,,Exact,0,Asteroidea,Asteroidea,86,1,Catalogue of Life,
3,Asterias,Asterias,696,704,5.33,1,NO_ANNOT,,,Exact,0,"Asterias Linnaeus, 1758",Asterias,7NPX9,1,Catalogue of Life,
4,"Asterias arenicola,",Asterias arenicola,829,848,12.35,2,NO_ANNOT,,,Exact,0,"Asterias arenicola Stimpson, 1862",Asterias arenicola,HRGF,1,Catalogue of Life,
5,"Asterias atlantica,",Asterias atlantica,1164,1183,12.76,2,NO_ANNOT,,,Exact,0,"Asterias atlantica Verrill, 1868",Asterias atlantica,HRGK,1,Catalogue of Life,
6,"Asterias camtschatica,",Asterias camtschatica,1243,1265,13.08,2,NO_ANNOT,,,Exact,0,"Asterias camtschatica Brandt, 1835",Asterias camtschatica,HRGX,1,Catalogue of Life,
7,"Asterias capitata,",Asterias capitata,1321,1339,13.07,2,NO_ANNOT,,,Exact,0,"Asterias capitata Stimpson, 1862",Asterias capitata,urn:lsid:marinespecies.org:taxname:379087,9,WoRMS,
8,"Asterias (Leptasterias) compta,",Asterias compta,1454,1485,10.64,2,NO_ANNOT,,,Exact,0,"Asterias compta Stimpson, 1862",Asterias compta,HRH7,1,Catalogue of Life,
9,(Leptasterias),Leptasterias,1463,1477,6.03,1,NO_ANNOT,,,Exact,0,"Leptasterias Verrill, 1866",Leptasterias,7P9HM,1,Catalogue of Life,
10,"Asterias epichlora,",Asterias epichlora,1598,1617,12.25,2,NO_ANNOT,,,Exact,0,"Asterias epichlora Brandt, 1835",Asterias epichlora,HRHT,1,Catalogue of Life,
11,"Asterias fabricii,",Asterias fabricii,1673,1691,10.58,2,NO_ANNOT,,,Exact,0,"Asterias fabricii Agassiz in Perrier, 1875",Asterias fabricii,HRHY,1,Catalogue of Life,
