Chunk	Chunk Root	Chunk Dep	Chunk Head
THE BIRDS	BIRDS	nsubj	OBSERVED
SOUTHEASTERN TEXAS	TEXAS	pobj	OF
SOUTHERN ARIZONA	ARIZONA	conj	TEXAS
SAMUEL N. RHOADS	RHOADS	pobj	BY
the idea	idea	pobj	With
the avifauna	avifauna	dobj	investigating
the southern border	border	pobj	of
the United States	States	pobj	of
a series	series	dobj	collectiug
the birds	birds	pobj	of
Florida	Florida	pobj	of
Texas	Texas	appos	Florida
Arizona	Arizona	conj	Texas
I	I	nsubj	left
Philadelphia	Philadelphia	dobj	left
Jacksonville	Jacksonville	pobj	at
Florida	Florida	appos	Jacksonville
the following month	month	pobj	of
A sojourn	sojourn	nsubjpass	made
five weeks	weeks	pobj	of
the southwestern part	part	pobj	in
the state	state	pobj	of
considerable collections	collections	nsubj	obtained
Few facts	facts	nsubjpass	ascertained
what	what	nsubjpass	written
the bird life	life	pobj	on
this region	region	pobj	of
it	it	nsubj	is
my intention	intention	attr	is
detail	detail	pobj	in
this part	part	pobj	of
the trip	trip	pobj	of
I	I	nsubj	arrived
Corpus Christi	Christi	pobj	at
Texas	Texas	appos	Christi
a three weeks' stay	stay	nsubjpass	made
I	I	nsubj	journeyed
Tucson	Tucson	pobj	to
Arizona	Arizona	appos	Tucson
June	June	pobj	of
birds	birds	dobj	collecting
the immediate vicinity	vicinity	pobj	in
the nineteenth	nineteenth	pobj	until
I	I	nsubj	took
stage	stage	dobj	took
Oracle	Oracle	pobj	for
a posthamlet	posthamlet	appos	Oracle
the oak belt	belt	pobj	in
the foothills	foothills	pobj	among
the Catalina Mountains	Mountains	pobj	of
Avas	Avas	dobj	Collecting
that vicinity	vicinity	pobj	in
July 2nd	2nd	pobj	until
Avhen	Avhen	appos	2nd
the mountains	mountains	nsubjpass	ascended
I	I	nsubj	took
my abode	abode	dobj	took
a week	week	pobj	for
a lumber camp	camp	pobj	in
the pines	pines	pobj	among
Mt.	Mt.	pobj	of
Lemon	Lemon	pobj	"
"
an elevation	elevation	pobj	at
between 7000 and 8000 ft	ft	pobj	of
.	.	pobj	of
about 2000 feet	feet	conj	.
the summit	summit	pobj	below
that mountain	mountain	pobj	of
The birds	birds	nsubj	received
southern Texas	Texas	pobj	of
the vicinity	vicinity	pobj	in
Corpus Christi	Christi	pobj	of
no small amount	amount	dobj	received
attention	attention	pobj	of
naturalists	naturalists	pobj	from
Mr. Beckham	Beckham	nsubj	enumerates
eight publications	publications	dobj	enumerates
this subject	subject	pobj	on
a few months	months	pobj	Within
