Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Echinoderms,Echinoderms,3034,3045,1.26,1,NO_ANNOT,,,Exact,0,Echinoderms,Echinoderms,3926528,168,ION,
1,Alcantara,Alcantara,3352,3361,3.82,1,NO_ANNOT,,,Exact,0,Alcantara Glaz.,Alcantara,5T5FB,1,Catalogue of Life,
2,Lepidoptera,Lepidoptera,3540,3551,3.82,1,NO_ANNOT,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
3,Histiotus maculatus,Histiotus maculatus,4275,4294,13.17,2,NO_ANNOT,,,Exact,0,"Histiotus maculatus J. A. Allen, 1891",Histiotus maculatus,3M5GK,1,Catalogue of Life,
4,Histiotus,Histiotus,4442,4451,5.45,1,NO_ANNOT,,,Exact,0,"Histiotus Gervais, 1856",Histiotus,4XN2,1,Catalogue of Life,
5,Histiotus,Histiotus,4833,4842,5.45,1,NO_ANNOT,,,Exact,0,"Histiotus Gervais, 1856",Histiotus,4XN2,1,Catalogue of Life,
6,EUDERMA,Euderma,5264,5271,4.59,1,NO_ANNOT,,,Exact,0,"Euderma H. Allen, 1892",Euderma,4FFC,1,Catalogue of Life,
7,Corynorhinus.,Corynorhinus,10779,10792,6.29,1,NO_ANNOT,,,Exact,0,"Corynorhinus H. Allen, 1865",Corynorhinus,62NX2,1,Catalogue of Life,
8,Corynorhinus.,Corynorhinus,11612,11625,6.29,1,NO_ANNOT,,,Exact,0,"Corynorhinus H. Allen, 1865",Corynorhinus,62NX2,1,Catalogue of Life,
9,Corynorhinus,Corynorhinus,12335,12347,6.29,1,NO_ANNOT,,,Exact,0,"Corynorhinus H. Allen, 1865",Corynorhinus,62NX2,1,Catalogue of Life,
10,Thylacodes medusae,Thylacodes medusae,12883,12901,10.96,2,SP_NOV,,,Exact,0,"Thylacodes medusae Pilsbry, 1891",Thylacodes medusae,56Q2T,1,Catalogue of Life,
11,T. atra,T. atra,13422,13429,3.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
12,Thylacodes.,Thylacodes,14345,14356,5.09,1,NO_ANNOT,,,Exact,0,"Thylacodes Guettard, 1770",Thylacodes,7PJHN,1,Catalogue of Life,
13,Saruga,Saruga,14716,14722,3.27,1,NO_ANNOT,,,Exact,0,Saruga,Saruga,7CN2,1,Catalogue of Life,
14,Vermetus imbricatus,Vermetus imbricatus,14762,14781,13.11,2,NO_ANNOT,,,Exact,0,"Vermetus imbricatus Sandberger, 1859",Vermetus imbricatus,5B3T7,1,Catalogue of Life,
15,V. imbricatus,V. imbricatus,14841,14854,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
16,V. masier,V. masier,14902,14911,3.66,2,NO_ANNOT,,,NoMatch,,,,,,,,
17,Dh. atra,Dh. atra,14912,14920,3.52,2,NO_ANNOT,,,NoMatch,,,,,,,,
18,Terebra,Terebra,15490,15497,4.61,1,SP_NOV,,,Exact,0,"Terebra Bruguière, 1789",Terebra,7PJ77,1,Catalogue of Life,
19,V. imbricatus,V. imbricatus,16706,16719,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
20,Thylacodes adamsii,Thylacodes adamsii,16737,16755,11.65,2,NO_ANNOT,,,Exact,0,"Thylacodes adamsii (Mörch, 1859)",Thylacodes adamsii,56Q23,1,Catalogue of Life,
21,Siphonalia fuscolineata,Siphonalia fuscolineata,16800,16823,12.95,2,NO_ANNOT,,,Exact,0,"Siphonalia fuscolineata (Pease, 1860)",Siphonalia fuscolineata,6YQPW,1,Catalogue of Life,
22,Astralium,Astralium,17086,17095,5.28,1,NO_ANNOT,,,Exact,0,"Astralium Link, 1807",Astralium,7NPY5,1,Catalogue of Life,
23,Pachypoma,Pachypoma,17347,17356,5.11,1,NO_ANNOT,,,Exact,0,"Pachypoma Gray, 1850",Pachypoma,urn:lsid:marinespecies.org:taxname:579277,9,WoRMS,
24,Astralium.,Astralium,17411,17421,5.28,1,NO_ANNOT,,,Exact,0,"Astralium Link, 1807",Astralium,7NPY5,1,Catalogue of Life,
