Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,NOTES,Notes,41,46,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
1,Branchiostoma lanceolatum,Branchiostoma lanceolatum,6208,6233,12.17,2,NO_ANNOT,,,Exact,0,"Branchiostoma lanceolatum (Pallas, 1774)",Branchiostoma lanceolatum,N6S2,1,Catalogue of Life,
2,Amphioxus lanceolatus,Amphioxus lanceolatus,6278,6299,11.45,2,NO_ANNOT,,,Exact,0,"Amphioxus lanceolatus (Pallas, 1774)",Amphioxus lanceolatus,66G9G,1,Catalogue of Life,
3,Petromyzon marinus,Petromyzon marinus,6325,6343,10.06,2,NO_ANNOT,,,Exact,0,"Petromyzon marinus Linnaeus, 1758",Petromyzon marinus,6V6DZ,1,Catalogue of Life,
4,Petromyzon marinus,Petromyzon marinus,6357,6375,10.06,2,NO_ANNOT,,,Exact,0,"Petromyzon marinus Linnaeus, 1758",Petromyzon marinus,6V6DZ,1,Catalogue of Life,
5,Scylliorhinus canicula,Scylliorhinus canicula,6508,6530,9.72,2,NO_ANNOT,,,Exact,0,Scylliorhinus canicula,Scylliorhinus canicula,2396355,168,ION,
6,Seyllium canicula,Seyllium canicula,6543,6560,8.45,2,NO_ANNOT,,,Exact,0,Seyllium canicula,Seyllium canicula,3873948,168,ION,
7,Galeodes,Galeodes,7064,7072,4.76,1,NO_ANNOT,,,Exact,0,"Galeodes Olivier, 1791",Galeodes,62SSQ,1,Catalogue of Life,
8,Catulus stellaris,Catulus stellaris,7390,7407,12.74,2,NO_ANNOT,,,Exact,0,Catulus stellaris,Catulus stellaris,gn_171238,186,MCZbase,
9,Scyllium catulus,Scyllium catulus,7422,7438,11.88,2,NO_ANNOT,,,Exact,0,"Scyllium catulus Müller & Henle, 1838",Scyllium catulus,79ZZF,1,Catalogue of Life,
10,Alopias vulpes,Alopias vulpes,7598,7612,10.73,2,NO_ANNOT,,,Exact,0,"Alopias vulpes (Gmelin, 1789)",Alopias vulpes,C5KC,1,Catalogue of Life,
11,Gmelin.,Gmelin,7613,7620,2.19,1,NO_ANNOT,,,NoMatch,,,,,,,,
12,Carcharias ferox,Carcharias ferox,7669,7685,9.62,2,NO_ANNOT,,,Exact,0,"Carcharias ferox (Risso, 1810)",Carcharias ferox,R3S9,1,Catalogue of Life,
13,Odontaspis ferox.,Odontaspis ferox,7703,7720,9.81,2,NO_ANNOT,,,Exact,0,"Odontaspis ferox (Risso, 1810)",Odontaspis ferox,74HN7,1,Catalogue of Life,
14,Lamna cornubica,Lamna cornubica,7739,7754,11.33,2,NO_ANNOT,,,Exact,0,"Lamna cornubica (Gmelin, 1789)",Lamna cornubica,6NW9Y,1,Catalogue of Life,
15,Gmelin.,Gmelin,7755,7762,2.19,1,NO_ANNOT,,,NoMatch,,,,,,,,
16,Isurus oxyrhynchus,Isurus oxyrhynchus,7788,7806,11.74,2,NO_ANNOT,,,Exact,0,"Isurus oxyrhynchus Rafinesque, 1810",Isurus oxyrhynchus,88H3P,1,Catalogue of Life,
17,Oxyrhina spallanzani,Oxyrhina spallanzani,7829,7849,10.80,2,NO_ANNOT,,,Fuzzy,1,Oxyrhina spallanzanii Bonaparte 1841,Oxyrhina spallanzanii,390257,172,PaleoBioDB,
18,Carcharodon carcharias,Carcharodon carcharias,7867,7889,10.30,2,NO_ANNOT,,,Exact,0,"Carcharodon carcharias (Linnaeus, 1758)",Carcharodon carcharias,5WZLF,1,Catalogue of Life,
19,Galeus canis,Galeus canis,8329,8341,11.00,2,NO_ANNOT,,,Exact,0,"Galeus canis Bonaparte, 1834",Galeus canis,3F4XT,1,Catalogue of Life,
20,3Iiistelus vulgaris.,Iiistelus vulgaris,8362,8382,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
21,Galeus mustelus,Galeus mustelus,8387,8402,11.95,2,NO_ANNOT,,,Exact,0,Galeus mustelus,Galeus mustelus,632301,168,ION,
22,Mustelus,Mustelus,8416,8424,5.75,1,NO_ANNOT,,,Exact,0,Mustelus,Mustelus,63CQ9,1,Catalogue of Life,
23,Sphyrna zygaena,Sphyrna zygaena,8522,8537,9.88,2,NO_ANNOT,,,Exact,0,"Sphyrna zygaena (Linnaeus, 1758)",Sphyrna zygaena,4Z2QW,1,Catalogue of Life,
24,Epicharmus,Epicharmus,8669,8679,5.49,1,NO_ANNOT,,,Exact,0,Epicharmus,Epicharmus,633Y4,1,Catalogue of Life,
25,Sphyrna tudes,Sphyrna tudes,8871,8884,8.90,2,NO_ANNOT,,,Exact,0,"Sphyrna tudes (Valenciennes, 1822)",Sphyrna tudes,4Z2QR,1,Catalogue of Life,
26,Zygcena tudes,Zygcena tudes,8902,8915,3.91,2,NO_ANNOT,,,Fuzzy,1,"Zygaena tudes Valenciennes, 1822",Zygaena tudes,7GG4W,1,Catalogue of Life,
27,HeptrancMas cinereus,Heptrancmas cinereus,8972,8992,4.07,2,NO_ANNOT,,,NoMatch,,,,,,,,
28,Gmelin.,Gmelin,8993,9000,2.19,1,NO_ANNOT,,,NoMatch,,,,,,,,
29,Heptanchus cinereus.,Heptanchus cinereus,9011,9031,11.75,2,NO_ANNOT,,,Exact,0,Heptanchus cinereus,Heptanchus cinereus,3600727,168,ION,
30,Squalus acanthias,Squalus acanthias,9051,9068,11.22,2,NO_ANNOT,,,Exact,0,"Squalus acanthias Linnaeus, 1758",Squalus acanthias,6ZDWC,1,Catalogue of Life,
31,Acanthias vulgaris,Acanthias vulgaris,9082,9100,12.58,2,NO_ANNOT,,,Exact,0,"Acanthias vulgaris Risso, 1827",Acanthias vulgaris,8TNF,1,Catalogue of Life,
32,Squalus blainvillei,Squalus blainvillei,9120,9139,12.21,2,NO_ANNOT,,,Exact,0,"Squalus blainvillei (Risso, 1827)",Squalus blainvillei,6ZDVG,1,Catalogue of Life,
33,Mustelus,Mustelus,9226,9234,5.75,1,NO_ANNOT,,,Exact,0,Mustelus,Mustelus,63CQ9,1,Catalogue of Life,
34,Lota fluviatalis.,Lota fluviatalis,9469,9486,4.42,2,NO_ANNOT,,,Fuzzy,1,"Lota fluviatilis Perty, 1832",Lota fluviatilis,3W7KQ,1,Catalogue of Life,
35,Oxynotus centrina.,Oxynotus centrina,12279,12297,12.27,2,NO_ANNOT,,,Exact,0,"Oxynotus centrina (Linnaeus, 1758)",Oxynotus centrina,75HCB,1,Catalogue of Life,
36,Centrina vidpecula,Centrina vidpecula,12307,12325,5.93,2,NO_ANNOT,,,PartialExact,0,"Centrina Cuvier, 1816",Centrina,564080,3,ITIS,
37,Squatina squatina,Squatina squatina,12634,12651,10.95,2,NO_ANNOT,,,Exact,0,"Squatina squatina (Linnaeus, 1758)",Squatina squatina,6ZFGH,1,Catalogue of Life,
38,Rhinobatus columnae,Rhinobatus columnae,13581,13600,8.59,2,NO_ANNOT,,,Exact,0,"Rhinobatus columnae Bonaparte, 1836",Rhinobatus columnae,4S7YL,1,Catalogue of Life,
39,Torpedo torpedo,Torpedo torpedo,13661,13676,6.73,2,NO_ANNOT,,,Exact,0,"Torpedo torpedo (Linnaeus, 1758)",Torpedo torpedo,7CJBC,1,Catalogue of Life,
40,Torpedo marmorata f poudtaarpa,Torpedo marmorata f poudtaarpa,13689,13719,13.05,3,NO_ANNOT,,,PartialExact,0,"Torpedo marmorata Risso, 1810",Torpedo marmorata,57GD4,1,Catalogue of Life,
41,Raja clavata,Raja clavata,15614,15626,8.65,2,NO_ANNOT,,,Exact,0,"Raja clavata Linnaeus, 1758",Raja clavata,793MV,1,Catalogue of Life,
42,Raja batis,Raja batis,15644,15654,6.70,2,NO_ANNOT,,,Exact,0,"Raja batis Linnaeus, 1758",Raja batis,78RMS,1,Catalogue of Life,
43,Raia batis,Raia batis,15667,15677,8.85,2,NO_ANNOT,,,Exact,0,"Raia batis () non Linnaeus, 1758",Raia batis,7YQFV,1,Catalogue of Life,
44,Raja punctata,Raja punctata,15750,15763,8.85,2,NO_ANNOT,,,Exact,0,"Raja punctata Risso, 1810",Raja punctata,793C7,1,Catalogue of Life,
45,Rata punctata.,Rata punctata,15785,15799,5.50,2,NO_ANNOT,,,PartialExact,0,"Rata Davie, 1993",Rata,7PXDL,1,Catalogue of Life,
46,Raja miraletus,Raja miraletus,18485,18499,8.83,2,NO_ANNOT,,,Exact,0,"Raja miraletus Linnaeus, 1758",Raja miraletus,6X3LW,1,Catalogue of Life,
47,Raia miraletus.,Raia miraletus,18521,18536,10.98,2,NO_ANNOT,,,PartialExact,0,Raia Cothen.,Raia,145291103,165,Tropicos,
48,Raja undulata,Raja undulata,21954,21967,8.85,2,NO_ANNOT,,,Exact,0,"Raja undulata Lacepède, 1802",Raja undulata,793CL,1,Catalogue of Life,
49,Aetobatis aquila,Aetobatis aquila,22059,22075,8.04,2,NO_ANNOT,,,PartialExact,0,"Aetobatis Blainville, 1816",Aetobatis,649697,3,ITIS,
50,Aetobatis bovina,Aetobatis bovina,22220,22236,12.32,2,NO_ANNOT,,,PartialExact,0,"Aetobatis Blainville, 1816",Aetobatis,649697,3,ITIS,
51,Myliobatis bovina.,Myliobatis bovina,22269,22287,12.49,2,NO_ANNOT,,,Exact,0,"Myliobatis bovina Geoffroy Saint-Hilaire, 1817",Myliobatis bovina,743P4,1,Catalogue of Life,
52,Trigla hirundo,Trigla hirundo,22375,22389,7.93,2,NO_ANNOT,,,Exact,0,"Trigla hirundo Linnaeus, 1758",Trigla hirundo,58QJH,1,Catalogue of Life,
53,Dasyatis pastinaca,Dasyatis pastinaca,22449,22467,11.70,2,NO_ANNOT,,,Exact,0,"Dasyatis pastinaca (Linnaeus, 1758)",Dasyatis pastinaca,347D2,1,Catalogue of Life,
54,Trygon vulgaris,Trygon vulgaris,22481,22496,10.28,2,NO_ANNOT,,,Exact,0,"Trygon vulgaris Risso, 1827",Trygon vulgaris,59F2F,1,Catalogue of Life,
55,Trygon,Trygon,22643,22649,3.21,1,NO_ANNOT,,,Exact,0,"Trygon Brehm, 1831",Trygon,urn:lsid:irmng.org:taxname:1144583,181,IRMNG,
56,Mobula edentula,Mobula edentula,22921,22936,5.65,2,NO_ANNOT,,,PartialExact,0,Mobula,Mobula,63BV4,1,Catalogue of Life,
57,C'ephaloptera giorna.,C�ephaloptera giorna,22958,22979,4.41,2,NO_ANNOT,,,Fuzzy,1,"Cephaloptera giorna (Lacepède, 1803)",Cephaloptera giorna,69J4S,1,Catalogue of Life,
58,Chimaera monstrosa,Chimaera monstrosa,23002,23020,11.07,2,NO_ANNOT,,,Exact,0,"Chimaera monstrosa Linnaeus, 1758",Chimaera monstrosa,5XRXH,1,Catalogue of Life,
59,Acipenser sturio.,Acipenser sturio,23060,23077,8.15,2,NO_ANNOT,,,Exact,0,"Acipenser sturio Linnaeus, 1758",Acipenser sturio,9C7Q,1,Catalogue of Life,
60,Acipenser sturio,Acipenser sturio,23088,23104,8.15,2,NO_ANNOT,,,Exact,0,"Acipenser sturio Linnaeus, 1758",Acipenser sturio,9C7Q,1,Catalogue of Life,
