Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,GALAPAGOS,Galapagos,36,45,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
1,Galapagos,Galapagos,97,106,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
2,Galapagos,Galapagos,626,635,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
3,Galapagos,Galapagos,1676,1685,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
4,Galapagos,Galapagos,4236,4245,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
5,Galapagos,Galapagos,4577,4586,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
6,Galapagos,Galapagos,5847,5856,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
7,B. rugiferus,B. rugiferus,6005,6017,6.63,2,NO_ANNOT,,,NoMatch,,,,,,,,
8,B. calvus,B. calvus,6023,6032,5.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
9,B. eschariferus,B. eschariferus,6131,6146,6.95,2,NO_ANNOT,,,NoMatch,,,,,,,,
10,B. rugulosus,B. rugulosus,6152,6164,6.77,2,NO_ANNOT,,,NoMatch,,,,,,,,
11,B. verrucosus,B. verrucosus,6170,6183,6.88,2,NO_ANNOT,,,NoMatch,,,,,,,,
12,B. nucula,B. nucula,6189,6198,6.02,2,NO_ANNOT,,,NoMatch,,,,,,,,
13,B. galapaganus,B. galapaganus,6208,6222,7.34,2,NO_ANNOT,,,NoMatch,,,,,,,,
14,B. sculpturatus,B. sculpturatus,6498,6513,7.71,2,NO_ANNOT,,,NoMatch,,,,,,,,
15,Trochomorpha,Trochomorpha,6598,6610,6.08,1,NO_ANNOT,,,Exact,0,"Trochomorpha Albers, 1850",Trochomorpha,7PK2T,1,Catalogue of Life,
16,Paludina,Paludina,6684,6692,3.96,1,NO_ANNOT,,,Exact,0,"Paludina Férussac, 1812",Paludina,urn:lsid:irmng.org:taxname:1310550,181,IRMNG,
17,Amnicola,Amnicola,6706,6714,5.51,1,NO_ANNOT,,,Exact,0,"Amnicola Gould & Haldeman, 1840",Amnicola,7NNTZ,1,Catalogue of Life,
18,Bulimulus riigulosus,Bulimulus riigulosus,6968,6988,8.11,2,NO_ANNOT,,,PartialExact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
19,Paludina,Paludina,7353,7361,3.96,1,NO_ANNOT,,,Exact,0,"Paludina Férussac, 1812",Paludina,urn:lsid:irmng.org:taxname:1310550,181,IRMNG,
20,Galapagos,Galapagos,7619,7628,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
21,Galapagos,Galapagos,8303,8312,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
22,Bulimulus asperatus,Bulimulus asperatus,8422,8441,13.64,2,NO_ANNOT,,,Exact,0,Bulimulus (Nesiotes) asperatus (Albers ),Bulimulus asperatus,4155229,168,ION,
23,B. incrassatus,B. incrassatus,8449,8463,7.81,2,NO_ANNOT,,,NoMatch,,,,,,,,
24,B. nuciformis,B. nuciformis,8469,8482,6.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
25,B. amastroides,B. amastroides,8489,8503,6.41,2,NO_ANNOT,,,NoMatch,,,,,,,,
26,B. chemnitzioides,B. chemnitzioides,8746,8763,6.40,2,NO_ANNOT,,,NoMatch,,,,,,,,
27,B. achatellinus,B. achatellinus,8802,8817,7.23,2,NO_ANNOT,,,NoMatch,,,,,,,,
28,Atiricula stagnalis,Atiricula stagnalis,8852,8871,6.00,2,NO_ANNOT,,,NoMatch,,,,,,,,
29,Pedipes angulatus,Pedipes angulatus,8882,8899,11.25,2,NO_ANNOT,,,Exact,0,"Pedipes angulatus C. B. Adams, 1852",Pedipes angulatus,75Y4D,1,Catalogue of Life,
30,Melampus trilineatus,Melampus trilineatus,8924,8944,13.87,2,NO_ANNOT,,,Exact,0,"Melampus trilineatus Adams, 1852",Melampus trilineatus,6QY37,1,Catalogue of Life,
31,Tralia panamensis,Tralia panamensis,8957,8974,11.47,2,NO_ANNOT,,,Exact,0,"Tralia panamensis (C. B. Adams, 1852)",Tralia panamensis,57WTW,1,Catalogue of Life,
32,Onchidella,Onchidella,9026,9036,6.37,1,NO_ANNOT,,,Exact,0,"Onchidella J.E. Gray, 1850",Onchidella,7PB89,1,Catalogue of Life,
33,B. tmifasciatus nucula,B. tmifasciatus nucula,9587,9609,6.71,3,NO_ANNOT,,,NoMatch,,,,,,,,
34,B. invalidus venustus,B. invalidus venustus,9671,9692,11.68,3,NO_ANNOT,,,NoMatch,,,,,,,,
35,B. incrassatus rugulosus,B. incrassatus rugulosus,9793,9817,12.99,3,NO_ANNOT,,,NoMatch,,,,,,,,
