Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,BATRACHIA.,Batrachia,495,505,4.42,1,NO_ANNOT,,,Exact,0,Conophytum sect. Batrachia Opel & S.A.Hammer,Batrachia,1008552-1,167,IPNI,
1,Rana dybowskii,Rana dybowskii,506,520,7.47,2,NO_ANNOT,,,Exact,0,"Rana dybowskii Günther, 1876",Rana dybowskii,4RDP6,1,Catalogue of Life,
2,R. temporaria,R. temporaria,641,654,5.99,2,NO_ANNOT,,,NoMatch,,,,,,,,
3,Rana chinensis,Rana chinensis,736,750,8.39,2,NO_ANNOT,,,Exact,0,"Rana chinensis Osbeck, 1765",Rana chinensis,4RDLR,1,Catalogue of Life,
4,R. esculenta.,R. esculenta,853,866,6.03,2,NO_ANNOT,,,NoMatch,,,,,,,,
5,Batrachia,Batrachia,929,938,4.42,1,NO_ANNOT,,,Exact,0,Conophytum sect. Batrachia Opel & S.A.Hammer,Batrachia,1008552-1,167,IPNI,
6,R. marmorata,R. marmorata,972,984,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
7,Batrachia,Batrachia,1068,1077,4.42,1,NO_ANNOT,,,Exact,0,Conophytum sect. Batrachia Opel & S.A.Hammer,Batrachia,1008552-1,167,IPNI,
8,R. chinensis,R. chinensis,1088,1100,7.17,2,NO_ANNOT,,,NoMatch,,,,,,,,
9,Bufo japonicus,Bufo japonicus,1162,1176,9.64,2,NO_ANNOT,,,Exact,0,"Bufo japonicus Temminck & Schlegel, 1838",Bufo japonicus,NP7S,1,Catalogue of Life,
10,Bufo raddei,Bufo raddei,1401,1412,7.55,2,NO_ANNOT,,,Exact,0,"Bufo raddei Strauch, 1876",Bufo raddei,NPDM,1,Catalogue of Life,
11,Hyla chinensis immaculata,Hyla chinensis immaculata,1764,1789,15.77,3,NO_ANNOT,,,Exact,0,"Hyla chinensis immaculata Boettger, 1888",Hyla chinensis immaculata,5J23L,1,Catalogue of Life,
12,Eremias argus,Eremias argus,2147,2160,6.24,2,NO_ANNOT,,,Exact,0,"Eremias argus Peters, 1869",Eremias argus,6GDVC,1,Catalogue of Life,
13,Amphiesma tigrinum,Amphiesma tigrinum,2212,2230,12.13,2,NO_ANNOT,,,Exact,0,"Amphiesma tigrinum Duméril & Bibron, 1854",Amphiesma tigrinum,2452276,11,GBIF Backbone Taxonomy,
14,Coluber dione,Coluber dione,2293,2306,1.74,2,NO_ANNOT,,,Exact,0,"Coluber dione Pallas, 1773",Coluber dione,1083209,3,ITIS,
15,Halys,Halys,2420,2425,3.13,1,NO_ANNOT,,,Exact,0,"Halys Gray, 1849",Halys,urn:lsid:irmng.org:taxname:1272257,181,IRMNG,
16,PRISTILOMA,Pristiloma,2635,2645,5.28,1,NO_ANNOT,,,Exact,0,"Pristiloma Ancey, 1887",Pristiloma,7PDC5,1,Catalogue of Life,
17,Pristiloma,Pristiloma,2817,2827,5.28,1,NO_ANNOT,,,Exact,0,"Pristiloma Ancey, 1887",Pristiloma,7PDC5,1,Catalogue of Life,
18,Hyalina arctica,Hyalina arctica,3367,3382,10.79,2,NO_ANNOT,,,Exact,0,"Hyalina arctica Lehnert, 1884",Hyalina arctica,7RPYH,1,Catalogue of Life,
