Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
1,Huachuca,Huachuca,477,485,3.48,1,NO_ANNOT,,,Exact,0,"Huachuca Pate, 1938",Huachuca,4Z37,1,Catalogue of Life,
2,Ashmunella,Ashmunella,820,830,6.37,1,NO_ANNOT,,,Exact,0,"Ashmunella Pilsbry & Cockerell, 1899",Ashmunella,7NPTV,1,Catalogue of Life,
3,Huachuca,Huachuca,1327,1335,3.48,1,NO_ANNOT,,,Exact,0,"Huachuca Pate, 1938",Huachuca,4Z37,1,Catalogue of Life,
4,Huachuca.,Huachuca,1448,1457,3.48,1,NO_ANNOT,,,Exact,0,"Huachuca Pate, 1938",Huachuca,4Z37,1,Catalogue of Life,
5,Ashmunella chiricahuana,Ashmunella chiricahuana,1866,1889,13.79,2,NO_ANNOT,,,Exact,0,"Ashmunella chiricahuana (Dall, 1896)",Ashmunella chiricahuana,7Q8FC,1,Catalogue of Life,
6,Huachuca,Huachuca,2541,2549,3.48,1,NO_ANNOT,,,Exact,0,"Huachuca Pate, 1938",Huachuca,4Z37,1,Catalogue of Life,
7,Holospira,Holospira,2712,2721,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
8,Holospira,Holospira,2982,2991,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
9,Microceramus.,Microceramus,3026,3039,5.85,1,NO_ANNOT,,,Exact,0,"Microceramus Pilsbry & Vanatta, 1898",Microceramus,7P8VF,1,Catalogue of Life,
10,Holospira,Holospira,3040,3049,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
11,Metastoma,Metastoma,3577,3586,5.11,1,NO_ANNOT,,,Exact,0,"Metastoma Strebel & Pfeffer, 1879",Metastoma,7P8SQ,1,Catalogue of Life,
12,H. roemeri.,H. roemeri,3608,3619,6.67,2,NO_ANNOT,,,NoMatch,,,,,,,,
13,Haplocion,Haplocion,4056,4065,2.94,1,NO_ANNOT,,,Exact,0,"Haplocion Pilsbry, 1902",Haplocion,7P4S8,1,Catalogue of Life,
14,H. pasonis,H. pasonis,4080,4090,6.49,2,NO_ANNOT,,,NoMatch,,,,,,,,
15,H. hamiltoni,H. hamiltoni,4096,4108,6.43,2,NO_ANNOT,,,NoMatch,,,,,,,,
16,Distomospira,Distomospira,4300,4312,5.31,1,NO_ANNOT,,,Exact,0,"Distomospira Dall, 1895",Distomospira,urn:lsid:irmng.org:taxname:1165299,181,IRMNG,
17,H. bilamellata,H. bilamellata,4327,4341,7.99,2,NO_ANNOT,,,NoMatch,,,,,,,,
18,Bostrichocentrum,Bostrichocentrum,4728,4744,6.55,1,NO_ANNOT,,,Exact,0,"Bostrichocentrum Strebel & Pfeffer, 1879",Bostrichocentrum,7NZLQ,1,Catalogue of Life,
19,Holospira,Holospira,4876,4885,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
20,H. goldfussi,H. goldfussi,4902,4914,5.48,2,NO_ANNOT,,,NoMatch,,,,,,,,
21,Holospira,Holospira,4986,4995,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
22,Bostrichocentrum pilsbryi,Bostrichocentrum pilsbryi,5044,5069,12.34,2,NO_ANNOT,,,PartialExact,0,"Bostrichocentrum Strebel & Pfeffer, 1879",Bostrichocentrum,7NZLQ,1,Catalogue of Life,
23,Distomospira hilomellata,Distomospira hilomellata,5205,5229,8.60,2,NO_ANNOT,,,PartialExact,0,"Distomospira Dall, 1895",Distomospira,urn:lsid:irmng.org:taxname:1165299,181,IRMNG,
24,Haplocion pasonis,Haplocion pasonis,5303,5320,9.76,2,NO_ANNOT,,,Exact,0,"Haplocion pasonis (Dall, 1895)",Haplocion pasonis,3JM6M,1,Catalogue of Life,
25,Haplocion hamiltoni,Haplocion hamiltoni,5368,5387,9.70,2,NO_ANNOT,,,Exact,0,"Haplocion hamiltoni (Dall, 1897)",Haplocion hamiltoni,3JM6J,1,Catalogue of Life,
26,Selaginella lepidophylla,Selaginella lepidophylla,5480,5504,12.55,2,NO_ANNOT,,,Exact,0,Selaginella lepidophylla (Hook. & Grev.) Spring,Selaginella lepidophylla,4WBYV,1,Catalogue of Life,
27,HOLOSPIRA,Holospira,5562,5571,4.78,1,NO_ANNOT,,,Exact,0,"Holospira E. von Martens, 1860",Holospira,7P5DZ,1,Catalogue of Life,
28,Holospira goldfussi,Holospira goldfussi,5587,5606,10.59,2,NO_ANNOT,,,Exact,0,"Holospira goldfussi (Menke, 1847)",Holospira goldfussi,6M9NR,1,Catalogue of Life,
29,H. rocmeri,H. rocmeri,5639,5649,6.67,2,NO_ANNOT,,,NoMatch,,,,,,,,
30,H. goldfussi.,H. goldfussi,6549,6562,5.48,2,NO_ANNOT,,,NoMatch,,,,,,,,
