Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Annabella,Annabella,57,66,6.20,1,NO_ANNOT,,,Exact,0,Annabella,Annabella,62BGH,1,Catalogue of Life,
1,Putoriics noveboracensis,Putoriics noveboracensis,551,575,4.89,2,NO_ANNOT,,,NoMatch,,,,,,,,
2,Felis,Felis,709,714,3.43,1,NO_ANNOT,,,Exact,0,"Felis Linnaeus, 1758",Felis,4JQ8,1,Catalogue of Life,
3,Pongo pygmoeus.,Pongo pygmoeus,796,811,9.59,2,NO_ANNOT,,,Fuzzy,1,"Pongo pygmaeus (Linnaeus, 1760)",Pongo pygmaeus,4LTT2,1,Catalogue of Life,
4,Equus,Equus,823,828,3.83,1,NO_ANNOT,,,Exact,0,"Equus Linnaeus, 1758",Equus,4DLP,1,Catalogue of Life,
5,Phacochoerus africanus.,Phacochoerus africanus,865,888,11.83,2,NO_ANNOT,,,Exact,0,"Phacochoerus africanus (Gmelin, 1788)",Phacochoerus africanus,4FKFT,1,Catalogue of Life,
6,Tapirus indicus.,Tapirus indicus,902,918,11.82,2,NO_ANNOT,,,Exact,0,"Tapirus indicus Desmarest, 1819",Tapirus indicus,54TGK,1,Catalogue of Life,
7,Felis cacomitli.,Felis cacomitli,989,1005,8.15,2,NO_ANNOT,,,Exact,0,"Felis cacomitli Berlandier, 1859",Felis cacomitli,6HQTN,1,Catalogue of Life,
8,Felis viverrina.,Felis viverrina,1018,1034,10.59,2,NO_ANNOT,,,Exact,0,"Felis viverrina Bennett, 1833",Felis viverrina,3DXW3,1,Catalogue of Life,
9,Arctitis binturong,Arctitis binturong,1045,1063,6.11,2,NO_ANNOT,,,Exact,0,"Arctitis binturong (Raffles, 1821)",Arctitis binturong,113830,2,Wikispecies,
10,Ursus pruinosus.,Ursus pruinosus,1085,1101,10.56,2,NO_ANNOT,,,Exact,0,Ursus pruinosus (Blyth 1854),Ursus pruinosus,105090,172,PaleoBioDB,
11,Helarctos malayanus.,Helarctos malayanus,1111,1131,10.83,2,NO_ANNOT,,,Exact,0,"Helarctos malayanus (Raffles, 1821)",Helarctos malayanus,6LGHJ,1,Catalogue of Life,
12,Melursus labiatus.,Melursus labiatus,1143,1161,10.33,2,NO_ANNOT,,,Exact,0,"Melursus labiatus (de Blainville, 1817)",Melursus labiatus,28066,174,Mammal Species of the World,
13,Procyon lotor hernandezi.,Procyon lotor hernandezi,1178,1203,10.14,3,NO_ANNOT,,,Fuzzy,1,"Procyon lotor hernandezii Wagler, 1831",Procyon lotor hernandezii,5KNRW,1,Catalogue of Life,
14,Cephalophus,Cephalophus,1218,1229,5.11,1,NO_ANNOT,,,Exact,0,"Cephalophus C. H. Smith, 1827",Cephalophus,3KGD,1,Catalogue of Life,
15,Antilope cervicapra,Antilope cervicapra,1255,1274,7.87,2,NO_ANNOT,,,Exact,0,"Antilope cervicapra (Linnaeus, 1758)",Antilope cervicapra,67LD3,1,Catalogue of Life,
16,Ovis tragelaphus,Ovis tragelaphus,1284,1300,8.96,2,NO_ANNOT,,,Exact,0,Ovis tragelaphus,Ovis tragelaphus,385562,183,Sherborn Index Animalium,
17,Myopotamus coypu.,Myopotamus coypu,1318,1335,5.55,2,NO_ANNOT,,,Exact,0,Myopotamus coypu (Molina 1782),Myopotamus coypu,233838,172,PaleoBioDB,
18,Dasyurus viaculatus.,Dasyurus viaculatus,1351,1371,8.07,2,NO_ANNOT,,,PartialExact,0,"Dasyurus É. Geoffroy Saint-Hilaire, 1796",Dasyurus,425X,1,Catalogue of Life,
19,Petaurus sciureus.,Petaurus sciureus,1395,1413,12.02,2,NO_ANNOT,,,Exact,0,Petaurus sciureus,Petaurus sciureus,347340,183,Sherborn Index Animalium,
20,Papio mormon,Papio mormon,1440,1452,3.93,2,NO_ANNOT,,,Exact,0,Papio mormon (Alströmer 1766),Papio mormon,232544,172,PaleoBioDB,
21,Brachyateles arachnoides,Brachyateles arachnoides,1478,1502,4.30,2,NO_ANNOT,,,Fuzzy,1,"Brachyteles arachnoides (É. Geoffroy Saint-Hilaire, 1806)",Brachyteles arachnoides,5WRMR,1,Catalogue of Life,
22,Lagothrix lagotricha.,Lagothrix lagotricha,1530,1551,11.61,2,NO_ANNOT,,,Exact,0,"Lagothrix lagotricha (Humboldt, 1812)",Lagothrix lagotricha,6NTX4,1,Catalogue of Life,
23,Eumetopias stellen.,Eumetopias stellen,1569,1588,6.53,2,NO_ANNOT,,,PartialExact,0,"Eumetopias Gill, 1866",Eumetopias,62TGG,1,Catalogue of Life,
24,Procavia capensis.,Procavia capensis,1600,1618,11.65,2,NO_ANNOT,,,Exact,0,"Procavia capensis (Pallas, 1766)",Procavia capensis,4MMMH,1,Catalogue of Life,
25,Didelphis albiventris,Didelphis albiventris,1634,1655,10.73,2,NO_ANNOT,,,Exact,0,"Didelphis albiventris Lund, 1840",Didelphis albiventris,6D4X2,1,Catalogue of Life,
26,Syrnium nebidosum,Syrnium nebidosum,1823,1840,6.78,2,NO_ANNOT,,,PartialExact,0,"Syrnium Savigny, 1809",Syrnium,urn:lsid:marinespecies.org:taxname:1476318,9,WoRMS,
27,Asia accipitrinus,Asia accipitrinus,1961,1978,4.64,2,NO_ANNOT,,,PartialExact,0,"Asia Pergens, 1887",Asia,urn:lsid:irmng.org:taxname:1451180,181,IRMNG,
28,Spheniscus demersus.,Spheniscus demersus,2088,2108,13.27,2,NO_ANNOT,,,Exact,0,"Spheniscus demersus (Linnaeus, 1758)",Spheniscus demersus,6YXJD,1,Catalogue of Life,
29,Struthio molybdophanes,Struthio molybdophanes,2140,2162,6.57,2,NO_ANNOT,,,Exact,0,"Struthio molybdophanes Reichenow, 1883",Struthio molybdophanes,536PY,1,Catalogue of Life,
30,Catharista urubu.,Catharista urubu,2187,2204,7.53,2,NO_ANNOT,,,Exact,0,Catharista urubu,Catharista urubu,396892,183,Sherborn Index Animalium,
31,Marila valisineria,Marila valisineria,2231,2249,10.08,2,NO_ANNOT,,,PartialExact,0,Marila Sw.,Marila,5LD6,1,Catalogue of Life,
32,Crax,Crax,2305,2309,3.63,1,NO_ANNOT,,,Exact,0,"Crax Linnaeus, 1758",Crax,3VGB,1,Catalogue of Life,
33,Aqiiila chrysaetos.,Aqiiila chrysaetos,2331,2350,1.25,2,NO_ANNOT,,,NoMatch,,,,,,,,
34,Polyborus tharus.,Polyborus tharus,2370,2387,11.75,2,NO_ANNOT,,,Exact,0,Polyborus tharus Barrows 1884,Polyborus tharus,4341908,168,ION,
35,Ahico pratincola.,Ahico pratincola,2397,2414,2.04,2,NO_ANNOT,,,NoMatch,,,,,,,,
36,Scaphiopus holbrooki,Scaphiopus holbrooki,2553,2573,9.80,2,NO_ANNOT,,,Exact,0,Scaphiopus (Scaphiopus) holbrooki (Harlan 1835),Scaphiopus holbrooki,99685,172,PaleoBioDB,
37,Eumeces lineatus.,Eumeces lineatus,2634,2651,10.44,2,NO_ANNOT,,,PartialExact,0,"Eumeces Steindachner, 1870",Eumeces,87FYW,1,Catalogue of Life,
38,Leptecheneis naucrates.,Leptecheneis naucrates,2855,2878,10.48,2,NO_ANNOT,,,Exact,0,"Leptecheneis naucrates (Linnaeus, 1758)",Leptecheneis naucrates,3TJB5,1,Catalogue of Life,
