Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Abramis,Abramis,36,43,5.03,1,NO_ANNOT,,,Exact,0,Abramis,Abramis,LQF,1,Catalogue of Life,
1,Abudefduf,Abudefduf,47,56,3.58,1,NO_ANNOT,,,Exact,0,Abudefduf,Abudefduf,LSZ,1,Catalogue of Life,
2,Acanthopsis,Acanthopsis,61,72,5.23,1,NO_ANNOT,,,Exact,0,Acanthopsis Harv.,Acanthopsis,MCG,1,Catalogue of Life,
3,Acanthorhodeus,Acanthorhodeus,76,90,6.53,1,NO_ANNOT,,,Exact,0,Acanthorhodeus,Acanthorhodeus,MD7,1,Catalogue of Life,
4,Acanthurus,Acanthurus,94,104,5.60,1,NO_ANNOT,,,Exact,0,"Acanthurus Kirby, 1827",Acanthurus,MG5,1,Catalogue of Life,
5,Achatina,Achatina,109,117,3.96,1,NO_ANNOT,,,Exact,0,"Achatina Lamarck, 1799",Achatina,7NMQS,1,Catalogue of Life,
6,Achirus,Achirus,122,129,5.01,1,NO_ANNOT,,,Exact,0,Achirus,Achirus,MRW,1,Catalogue of Life,
7,Adelonycteris,Adelonycteris,163,176,5.67,1,NO_ANNOT,,,Exact,0,"Adelonycteris Allen, 1892",Adelonycteris,urn:lsid:irmng.org:taxname:1092888,181,IRMNG,
8,Adeorbis,Adeorbis,189,197,4.66,1,NO_ANNOT,,,Exact,0,"Adeorbis S. V. Wood, 1842",Adeorbis,urn:lsid:irmng.org:taxname:1195715,181,IRMNG,
9,Agenia,Agenia,240,246,3.32,1,NO_ANNOT,,,Exact,0,Agenia,Agenia,84L7B,1,Catalogue of Life,
10,Albula,Albula,273,279,4.29,1,NO_ANNOT,,,Exact,0,Albula,Albula,RJW,1,Catalogue of Life,
11,Alectis,Alectis,299,306,5.39,1,NO_ANNOT,,,Exact,0,Alectis,Alectis,628ZV,1,Catalogue of Life,
12,Alosa,Alosa,329,334,3.92,1,NO_ANNOT,,,Exact,0,Alosa,Alosa,STX,1,Catalogue of Life,
13,Alutera,Alutera,338,345,4.73,1,NO_ANNOT,,,Exact,0,"Alutera Oken, 1817",Alutera,646148,3,ITIS,
14,Ammophila,Ammophila,363,372,4.16,1,NO_ANNOT,,,Exact,0,"Ammophila W. Kirby, 1798",Ammophila,TY5,1,Catalogue of Life,
15,Amphacanthus,Amphacanthus,392,404,5.35,1,NO_ANNOT,,,Exact,0,"Amphacanthus Dogiel, 1926",Amphacanthus,urn:lsid:irmng.org:taxname:1364254,181,IRMNG,
16,Ampulex,Ampulex,442,449,4.77,1,NO_ANNOT,,,Exact,0,"Ampulex Jurine, 1807",Ampulex,62CCN,1,Catalogue of Life,
17,Anarcestes,Anarcestes,467,477,3.55,1,NO_ANNOT,,,Exact,0,Anarcestes,Anarcestes,V75,1,Catalogue of Life,
18,Ancistromma,Ancistromma,482,493,5.70,1,NO_ANNOT,,,Exact,0,"Ancistromma W. Fox, 1893",Ancistromma,VJY,1,Catalogue of Life,
19,Ancylus,Ancylus,498,505,5.50,1,NO_ANNOT,,,Exact,0,"Ancylus O. F. Müller, 1773",Ancylus,87D9W,1,Catalogue of Life,
20,Andrena,Andrena,510,517,5.06,1,NO_ANNOT,,,Exact,0,"Andrena Fabricius, 1775",Andrena,62BS5,1,Catalogue of Life,
21,Angelichthys,Angelichthys,522,534,5.85,1,NO_ANNOT,,,Exact,0,"Angelichthys Jordan & Evermann, 1896",Angelichthys,urn:lsid:marinespecies.org:taxname:295995,9,WoRMS,
