Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Planorbis blcarinatus,Planorbis blcarinatus,3470,3491,7.94,2,NO_ANNOT,,,Fuzzy,1,"Planorbis bicarinatus Lamarck, 1804",Planorbis bicarinatus,7SQSL,1,Catalogue of Life,
1,Amnicola limosa,Amnicola limosa,3496,3511,12.34,2,NO_ANNOT,,,Exact,0,Amnicola limosa [sic],Amnicola limosa,CVXD,1,Catalogue of Life,
2,Planorbis,Planorbis,3946,3955,4.83,1,NO_ANNOT,,,Exact,0,"Planorbis O. F. Müller, 1773",Planorbis,7PCRT,1,Catalogue of Life,
3,SELENITES,Selenites,4232,4241,3.38,1,NO_ANNOT,,,Exact,0,"Selenites Fischer in Shuttleworth, 1877",Selenites,urn:lsid:irmng.org:taxname:1318001,181,IRMNG,
4,Selenites concavus,Selenites concavus,4251,4269,9.41,2,NO_ANNOT,,,Exact,0,Selenites concavus,Selenites concavus,urn:lsid:marinespecies.org:taxname:1366421,9,WoRMS,
5,Zonites,Zonites,4866,4873,2.96,1,NO_ANNOT,,,Exact,0,"Zonites Montfort, 1810",Zonites,7PLG3,1,Catalogue of Life,
6,Zonites,Zonites,4982,4989,2.96,1,NO_ANNOT,,,Exact,0,"Zonites Montfort, 1810",Zonites,7PLG3,1,Catalogue of Life,
7,Zonites,Zonites,5379,5386,2.96,1,NO_ANNOT,,,Exact,0,"Zonites Montfort, 1810",Zonites,7PLG3,1,Catalogue of Life,
8,H. verticillus.,H. verticillus,5505,5520,7.22,2,NO_ANNOT,,,NoMatch,,,,,,,,
9,Tragomma,Tragomma,5529,5537,5.24,1,NO_ANNOT,,,Exact,0,"Tragomma Held, 1837",Tragomma,urn:lsid:irmng.org:taxname:1328218,181,IRMNG,
10,Helicodes,Helicodes,5583,5592,4.93,1,NO_ANNOT,,,Exact,0,"Helicodes Herrmannsen, 1852",Helicodes,urn:lsid:irmng.org:taxname:1396417,181,IRMNG,
11,H. algira.,H. algira,5626,5636,4.61,2,NO_ANNOT,,,NoMatch,,,,,,,,
12,"Helicella,",Helicella,5645,5655,6.20,1,NO_ANNOT,,,Exact,0,"Helicella A. Férussac, 1821",Helicella,7P4WZ,1,Catalogue of Life,
13,Z. algirus.,Z. algirus,5828,5839,6.28,2,NO_ANNOT,,,NoMatch,,,,,,,,
14,Zonites,Zonites,5844,5851,2.96,1,NO_ANNOT,,,Exact,0,"Zonites Montfort, 1810",Zonites,7PLG3,1,Catalogue of Life,
15,OMPHALINA,Omphalina,5880,5889,4.13,1,NO_ANNOT,,,Exact,0,Omphalina,Omphalina,684D,1,Catalogue of Life,
16,Omphalina,Omphalina,5902,5911,4.13,1,NO_ANNOT,,,Exact,0,Omphalina,Omphalina,684D,1,Catalogue of Life,
17,"Mollusca,",Mollusca,6246,6255,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
18,Edusa,Edusa,6410,6415,4.03,1,NO_ANNOT,,,Exact,0,"Edusa Martens, 1860",Edusa,urn:lsid:irmng.org:taxname:1125541,181,IRMNG,
19,H. zonites,H. zonites,6459,6469,4.23,2,NO_ANNOT,,,NoMatch,,,,,,,,
20,H. euryomphala,H. euryomphala,6531,6545,6.70,2,NO_ANNOT,,,NoMatch,,,,,,,,
21,H. bilineata,H. bilineata,6607,6619,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
22,P. carinatus,P. carinatus,6674,6686,7.39,2,NO_ANNOT,,,NoMatch,,,,,,,,
23,Mesomphix,Mesomphix,6708,6717,3.58,1,NO_ANNOT,,,Exact,0,"Mesomphix Rafinesque, 1819",Mesomphix,7P8RD,1,Catalogue of Life,
24,VITREA,Vitrea,8716,8722,3.76,1,NO_ANNOT,,,Exact,0,"Vitrea Fitzinger, 1833",Vitrea,7PKVF,1,Catalogue of Life,
25,"Helicella,",Helicella,8836,8846,6.20,1,NO_ANNOT,,,Exact,0,"Helicella A. Férussac, 1821",Helicella,7P4WZ,1,Catalogue of Life,
26,Hyalina,Hyalina,9002,9009,3.72,1,NO_ANNOT,,,Exact,0,"Hyalina Schumacher, 1817",Hyalina,7P5J8,1,Catalogue of Life,
27,"Dejean,",Dejean,9195,9202,1.33,1,NO_ANNOT,,,Exact,0,"Criocephalus (Dejean) Mulsant, 1839",Dejean,141492677,164,BioLib.cz,
28,Lucilla,Lucilla,9528,9535,5.79,1,NO_ANNOT,,,Exact,0,"Lucilla R. T. Lowe, 1852",Lucilla,7P7XQ,1,Catalogue of Life,
29,Euhyalina,Euhyalina,9887,9896,4.13,1,NO_ANNOT,,,Exact,0,"Euhyalina Albers, 1857",Euhyalina,urn:lsid:irmng.org:taxname:1347908,181,IRMNG,
30,Aegopina,Aegopina,9959,9967,3.96,1,NO_ANNOT,,,Exact,0,"Aegopina Kobelt, 1878",Aegopina,urn:lsid:irmng.org:taxname:1429484,181,IRMNG,
31,Mediterranea,Mediterranea,10228,10240,5.71,1,NO_ANNOT,,,Exact,0,"Mediterranea Clessin, 1880",Mediterranea,7P8KZ,1,Catalogue of Life,
32,"Mollusca,",Mollusca,10547,10556,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
33,Zonites,Zonites,10590,10597,2.96,1,NO_ANNOT,,,Exact,0,"Zonites Montfort, 1810",Zonites,7PLG3,1,Catalogue of Life,
34,Vitrea,Vitrea,10829,10835,3.76,1,NO_ANNOT,,,Exact,0,"Vitrea Fitzinger, 1833",Vitrea,7PKVF,1,Catalogue of Life,
35,V. arborea,V. arborea,11218,11228,4.75,2,NO_ANNOT,,,NoMatch,,,,,,,,
