Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,HYMENOPTERA,Hymenoptera,36,47,5.44,1,NO_ANNOT,,,Exact,0,Hymenoptera,Hymenoptera,HYM,1,Catalogue of Life,
1,Hymenoptera made,Hymenoptera made,178,194,4.21,2,NO_ANNOT,,,PartialExact,0,Hymenoptera,Hymenoptera,HYM,1,Catalogue of Life,
2,Ampulex trigonopsis,Ampulex trigonopsis,356,375,12.70,2,NO_ANNOT,,,Exact,0,"Ampulex trigonopsis F. Smith, 1873",Ampulex trigonopsis,D7YP,1,Catalogue of Life,
3,Sceliphron,Sceliphron,611,621,4.64,1,NO_ANNOT,,,Exact,0,"Sceliphron Klug, 1801",Sceliphron,7D8R,1,Catalogue of Life,
4,{Trigonopsis),Trigonopsis,622,635,5.23,1,NO_ANNOT,,,Exact,0,"Trigonopsis Perty, 1833",Trigonopsis,822P,1,Catalogue of Life,
5,Sceliphron (Podium) denticulatum,Sceliphron denticulatum,702,734,12.36,2,NO_ANNOT,,,Exact,0,"Sceliphron denticulatum (F. Smith, 1856)",Sceliphron denticulatum,4V4S4,1,Catalogue of Life,
6,Sceliphron (Podium) consanguineum,Sceliphron consanguineum,786,819,11.07,2,NO_ANNOT,,,Exact,0,"Sceliphron consanguineum (F. Smith, 1856)",Sceliphron consanguineum,4V4RR,1,Catalogue of Life,
7,Sceliphron,Sceliphron,929,939,4.64,1,NO_ANNOT,,,Exact,0,"Sceliphron Klug, 1801",Sceliphron,7D8R,1,Catalogue of Life,
8,Sceliphron (Podium) romandinum,Sceliphron romandinum,1025,1055,11.89,2,NO_ANNOT,,,Exact,0,"Sceliphron romandinum (de Saussure, 1867)",Sceliphron romandinum,4V4V2,1,Catalogue of Life,
9,Soeliphron (Podium) haematogastrum,Soeliphron haematogastrum,1120,1154,5.96,2,NO_ANNOT,,,Fuzzy,1,"Sceliphron haematogastrum (Spinola, 1851)",Sceliphron haematogastrum,4V4T2,1,Catalogue of Life,
10,Podium egregium.,Podium egregium,1599,1615,9.96,2,NO_ANNOT,,,Exact,0,"Podium egregium de Saussure, 1867",Podium egregium,4KPVY,1,Catalogue of Life,
11,Sceliphron fistulare,Sceliphron fistulare,1619,1639,10.11,2,NO_ANNOT,,,PartialExact,0,"Sceliphron Klug, 1801",Sceliphron,7D8R,1,Catalogue of Life,
12,Sceliphron figulum,Sceliphron figulum,1704,1722,11.20,2,NO_ANNOT,,,Exact,0,Sceliphron figulum Dahl.,Sceliphron figulum,3358414,168,ION,
13,Ammophila opulenta,Ammophila opulenta,1778,1796,10.36,2,NO_ANNOT,,,Exact,0,"Ammophila opulenta Guérin-Méneville, 1838",Ammophila opulenta,CV5D,1,Catalogue of Life,
14,Ammophila miliaris,Ammophila miliaris,2115,2133,11.23,2,NO_ANNOT,,,Exact,0,"Ammophila miliaris Cameron, 1888",Ammophila miliaris,CV3W,1,Catalogue of Life,
15,Ammophila abbreviata,Ammophila abbreviata,2298,2318,12.18,2,NO_ANNOT,,,Exact,0,"Ammophila abbreviata (Fabricius, 1804)",Ammophila abbreviata,66CNX,1,Catalogue of Life,
16,Ammophila aureo-notata,Ammophila aureo-notata,2355,2377,7.39,2,NO_ANNOT,,,Fuzzy,1,"Ammophila aureonotata Cameron, 1888",Ammophila aureonotata,66CPV,1,Catalogue of Life,
17,Ammophila moneta,Ammophila moneta,2489,2505,9.93,2,NO_ANNOT,,,Exact,0,"Ammophila moneta F. Smith, 1856",Ammophila moneta,CV49,1,Catalogue of Life,
18,A. ragilis,A. ragilis,2742,2752,6.61,2,NO_ANNOT,,,NoMatch,,,,,,,,
19,Moneta,Moneta,2760,2766,4.48,1,NO_ANNOT,,,Exact,0,Moneta,Moneta,84QJR,1,Catalogue of Life,
20,Ammophila asperata,Ammophila asperata,2807,2825,11.90,2,SP_NOV,,,Exact,0,"Ammophila asperata W. Fox, 1897",Ammophila asperata,66D28,1,Catalogue of Life,
21,Sphex (Ohlorion) hemiprasinus,Sphex hemiprasinus,4594,4623,10.30,2,NO_ANNOT,,,Exact,0,"Sphex hemiprasinus Sichel, 1863",Sphex hemiprasinus,4YYQC,1,Catalogue of Life,
22,Sphex (Chlorion) cyaniventris,Sphex cyaniventris,4668,4697,10.29,2,NO_ANNOT,,,Exact,0,"Sphex cyaniventris (Guérin-Méneville, 1831)",Sphex cyaniventris,4YYKF,1,Catalogue of Life,
23,(Chlorion),Chlorion,4674,4684,2.77,1,NO_ANNOT,,,Exact,0,"Chlorion Latreille, 1802",Chlorion,3NL9,1,Catalogue of Life,
24,Sphex,Sphex,4760,4765,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
25,{Isodontia),Isodontia,4766,4777,5.29,1,NO_ANNOT,,,Exact,0,"Isodontia Patton, 1880",Isodontia,55G7,1,Catalogue of Life,
26,Sphex,Sphex,4852,4857,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
27,{Isodontia),Isodontia,4858,4869,5.29,1,NO_ANNOT,,,Exact,0,"Isodontia Patton, 1880",Isodontia,55G7,1,Catalogue of Life,
28,Sphex,Sphex,4987,4992,2.73,1,SP_NOV,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
29,[Isodontia),Isodontia,4993,5004,5.29,1,SP_NOV,,,Exact,0,"Isodontia Patton, 1880",Isodontia,55G7,1,Catalogue of Life,
30,S. laevipes,S. laevipes,6269,6280,5.79,2,NO_ANNOT,,,NoMatch,,,,,,,,
31,"S. costipennis,",S. costipennis,6341,6356,7.27,2,NO_ANNOT,,,NoMatch,,,,,,,,
32,Sphex (Isodontia) azteca,Sphex azteca,6513,6537,4.30,2,NO_ANNOT,,,Exact,0,Sphex azteca,Sphex azteca,3968236,168,ION,
33,(Isodontia),Isodontia,6519,6530,5.29,1,NO_ANNOT,,,Exact,0,"Isodontia Patton, 1880",Isodontia,55G7,1,Catalogue of Life,
34,Sphex caliginosus,Sphex caliginosus,6582,6599,10.25,2,NO_ANNOT,,,Exact,0,"Sphex caliginosus Erichson, 1849",Sphex caliginosus,4YYGJ,1,Catalogue of Life,
35,Sphex fuliginosus,Sphex fuliginosus,6667,6684,10.25,2,NO_ANNOT,,,Exact,0,"Sphex fuliginosus Dahlbom, 1843",Sphex fuliginosus,4YYNQ,1,Catalogue of Life,
36,Sphex,Sphex,6759,6764,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
37,Sphex funestus,Sphex funestus,7021,7035,10.29,2,NO_ANNOT,,,Exact,0,"Sphex funestus Kohl, 1890",Sphex funestus,4YYNZ,1,Catalogue of Life,
38,Sphex neotropicus,Sphex neotropicus,7109,7126,10.31,2,NO_ANNOT,,,Exact,0,"Sphex neotropicus Kohl, 1890",Sphex neotropicus,4YYVD,1,Catalogue of Life,
