Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
1,Crustacea,Crustacea,347,356,4.98,1,NO_ANNOT,,,Exact,0,"Crustacea Brünnich, 1772",Crustacea,83677,3,ITIS,
2,Birgus latro,Birgus latro,1121,1133,8.82,2,NO_ANNOT,,,Exact,0,"Birgus latro (Linnaeus, 1767)",Birgus latro,138430,2,Wikispecies,
3,Truncatella valida.,Truncatella valida,1138,1157,12.87,2,NO_ANNOT,,,Exact,0,"Truncatella valida L. Pfeiffer, 1846",Truncatella valida,7D8SY,1,Catalogue of Life,
4,Conus catus,Conus catus,1414,1425,11.47,2,NO_ANNOT,,,Exact,0,"Conus catus Hwass in Bruguière, 1792",Conus catus,XX4X,1,Catalogue of Life,
5,Glyphostoma,Glyphostoma,1586,1597,5.40,1,NO_ANNOT,,,Exact,0,"Glyphostoma Gabb, 1873",Glyphostoma,7P3WY,1,Catalogue of Life,
6,Murex rubesceus,Murex rubesceus,1605,1620,6.17,2,NO_ANNOT,,,PartialExact,0,"Murex Linnaeus, 1758",Murex,87GTH,1,Catalogue of Life,
7,Murex laqueatus,Murex laqueatus,1630,1645,11.07,2,NO_ANNOT,,,Exact,0,"Murex laqueatus G. B. Sowerby II, 1841",Murex laqueatus,44M7G,1,Catalogue of Life,
8,Maculotriton bradeatus,Maculotriton bradeatus,1655,1677,6.40,2,NO_ANNOT,,,PartialExact,0,"Maculotriton Dall, 1904",Maculotriton,7P88B,1,Catalogue of Life,
9,Purpura armigera,Purpura armigera,1715,1731,10.46,2,NO_ANNOT,,,Exact,0,"Purpura armigera (Link, 1807)",Purpura armigera,4QK6Z,1,Catalogue of Life,
10,Ricinula horrida,Ricinula horrida,1771,1787,11.50,2,NO_ANNOT,,,Exact,0,"Ricinula horrida Lamarck, 1816",Ricinula horrida,4T264,1,Catalogue of Life,
11,Ricinula digitaia,Ricinula digitaia,1856,1873,10.39,2,NO_ANNOT,,,Fuzzy,1,"Ricinula digitata Lamarck, 1816",Ricinula digitata,4T25P,1,Catalogue of Life,
