Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Sabinea,Sabinea,21,28,4.77,1,NO_ANNOT,,,Exact,0,Sabinea DC.,Sabinea,23466-1,167,IPNI,
1,Sarda,Sarda,34,39,3.43,1,NO_ANNOT,,,Exact,0,Sarda,Sarda,7CHJ,1,Catalogue of Life,
2,Sauropus,Sauropus,44,52,5.73,1,NO_ANNOT,,,Exact,0,Sauropus Blume,Sauropus,500759,3,ITIS,
3,Scomber,Scomber,81,88,2.09,1,NO_ANNOT,,,Exact,0,Scomber,Scomber,644V4,1,Catalogue of Life,
4,Scytalocrinus,Scytalocrinus,93,106,6.38,1,NO_ANNOT,,,Exact,0,"Scytalocrinus Wachsmuth & Springer, 1880",Scytalocrinus,urn:lsid:irmng.org:taxname:1104705,181,IRMNG,
5,Sesarma,Sesarma,138,145,4.59,1,NO_ANNOT,,,Exact,0,"Sesarma Say, 1817 [in Say, 1817-1818]",Sesarma,7PZJ9,1,Catalogue of Life,
6,Sicyocrinus,Sicyocrinus,150,161,6.05,1,NO_ANNOT,,,Exact,0,"Sicyocrinus Angelin, 1878",Sicyocrinus,urn:lsid:irmng.org:taxname:1450185,181,IRMNG,
7,Sicyonia,Sicyonia,171,179,3.87,1,NO_ANNOT,,,Exact,0,"Sicyonia H. Milne Edwards, 1830",Sicyonia,urn:lsid:marinespecies.org:taxname:106824,9,WoRMS,
8,Sigaretus,Sigaretus,184,193,5.45,1,NO_ANNOT,,,Exact,0,"Sigaretus Lamarck, 1799",Sigaretus,urn:lsid:marinespecies.org:taxname:204100,9,WoRMS,
9,Simenia,Simenia,203,210,3.62,1,NO_ANNOT,,,Exact,0,Simenia Szabó,Simenia,5TGGV,1,Catalogue of Life,
10,Siredon,Siredon,215,222,3.76,1,NO_ANNOT,,,Exact,0,"Siredon Wagler, 1830",Siredon,urn:lsid:irmng.org:taxname:1023062,181,IRMNG,
11,Solen,Solen,289,294,1.98,1,NO_ANNOT,,,Exact,0,"Solen Linnaeus, 1758",Solen,7PH2K,1,Catalogue of Life,
12,Sphenoderia,Sphenoderia,361,372,5.14,1,NO_ANNOT,,,Exact,0,"Sphenoderia Schlumberger, 1845",Sphenoderia,urn:lsid:irmng.org:taxname:1295365,181,IRMNG,
13,Spirifer,Spirifer,377,385,4.72,1,NO_ANNOT,,,Exact,0,"Spirifer Sowerby, 1816",Spirifer,urn:lsid:irmng.org:taxname:1429479,181,IRMNG,
14,Stalagmium,Stalagmium,389,399,5.45,1,NO_ANNOT,,,Exact,0,"Stalagmium Conrad, 1833",Stalagmium,urn:lsid:irmng.org:taxname:1015418,181,IRMNG,
15,Stapelia,Stapelia,404,412,4.39,1,NO_ANNOT,,,Exact,0,Stapelia L.,Stapelia,5TGS2,1,Catalogue of Life,
16,Steganocrinus,Steganocrinus,417,430,6.38,1,NO_ANNOT,,,Exact,0,"Steganocrinus Meek & Worthen, 1886",Steganocrinus,urn:lsid:irmng.org:taxname:1210430,181,IRMNG,
17,Stemmatocrinus,Stemmatocrinus,435,449,6.60,1,NO_ANNOT,,,Exact,0,"Stemmatocrinus Trautschold, 1867",Stemmatocrinus,urn:lsid:irmng.org:taxname:1218389,181,IRMNG,
18,Stenogyra,Stenogyra,459,468,4.94,1,NO_ANNOT,,,Exact,0,"Stenogyra Shuttleworth, 1854",Stenogyra,7PHG4,1,Catalogue of Life,
19,Strotocrinus,Strotocrinus,493,505,6.29,1,NO_ANNOT,,,Exact,0,"Strotocrinus Meek & Worthen, 1866",Strotocrinus,urn:lsid:irmng.org:taxname:1055103,181,IRMNG,
20,Succinea,Succinea,510,518,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
