Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Arachnida,Arachnida,1153,1162,2.37,1,NO_ANNOT,,,Exact,0,Arachnida,Arachnida,RC,1,Catalogue of Life,
1,"Lolliguncula,",Lolliguncula,1247,1260,5.53,1,NO_ANNOT,,,Exact,0,"Lolliguncula Steenstrup, 1881",Lolliguncula,7P7SF,1,Catalogue of Life,
2,Trias,Trias,1380,1385,4.65,1,NO_ANNOT,,,Exact,0,Trias Lindl.,Trias,145106283,165,,
3,Pleurodonte.,Pleurodonte,1460,1472,4.27,1,NO_ANNOT,,,Exact,0,"Pleurodonte Fischer von Waldheim, 1807",Pleurodonte,7PCW8,1,Catalogue of Life,
4,Sarcocystis,Sarcocystis,1815,1826,6.10,1,NO_ANNOT,,,Exact,0,"Sarcocystis Lankester, 1882",Sarcocystis,63RQ7,1,Catalogue of Life,
5,Notes,Notes,1955,1960,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
6,Notes,Notes,2074,2079,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
7,Ecphora,Ecphora,2645,2652,5.65,1,NO_ANNOT,,,Exact,0,"Ecphora Conrad, 1843",Ecphora,8FSYF,1,Catalogue of Life,
8,Notes,Notes,2687,2692,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
9,Omphalina,Omphalina,2744,2753,4.13,1,NO_ANNOT,,,Exact,0,Omphalina,Omphalina,684D,1,Catalogue of Life,
10,Mesomphix.,Mesomphix,2758,2768,3.58,1,NO_ANNOT,,,Exact,0,"Mesomphix Rafinesque, 1819",Mesomphix,7P8RD,1,Catalogue of Life,
11,Euciroa,Euciroa,2829,2836,3.87,1,NO_ANNOT,,,Exact,0,"Euciroa Dall, 1881",Euciroa,7NZ9X,1,Catalogue of Life,
