Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Baculites compressus,Baculites compressus,956,976,10.59,2,NO_ANNOT,,,Exact,0,"Baculites compressus Say, 1920",Baculites compressus,KB8K,1,Catalogue of Life,
1,Batrachia,Batrachia,1198,1207,4.42,1,NO_ANNOT,,,Exact,0,Conophytum sect. Batrachia Opel & S.A.Hammer,Batrachia,1008552-1,167,IPNI,
2,Hymenoptera,Hymenoptera,1281,1292,5.44,1,NO_ANNOT,,,Exact,0,Hymenoptera,Hymenoptera,HYM,1,Catalogue of Life,
3,Pycnogonum,Pycnogonum,1590,1600,5.13,1,NO_ANNOT,,,Exact,0,"Pycnogonum Brünnich, 1764",Pycnogonum,84T3F,1,Catalogue of Life,
4,Monarda fistulosa,Monarda fistulosa,1712,1729,9.97,2,NO_ANNOT,,,Exact,0,Monarda fistulosa L.,Monarda fistulosa,4428K,1,Catalogue of Life,
5,Amsonia,Amsonia,1884,1891,3.62,1,NO_ANNOT,,,Exact,0,Amsonia Walter,Amsonia,62CDK,1,Catalogue of Life,
6,Polygonum acre,Polygonum acre,1948,1962,4.77,2,NO_ANNOT,,,Exact,0,Polygonum acre Kunth,Polygonum acre,4L8ZF,1,Catalogue of Life,
7,Stellaria media;,Stellaria media,2071,2087,6.34,2,NO_ANNOT,,,Exact,0,Stellaria media (L.) Vill.,Stellaria media,4ZRH7,1,Catalogue of Life,
8,Ranunculus abortivus;,Ranunculus abortivus,2136,2157,10.91,2,NO_ANNOT,,,Exact,0,Ranunculus abortivus L.,Ranunculus abortivus,4RFJ2,1,Catalogue of Life,
9,Ornithogalum umbellatum;,Ornithogalum umbellatum,2196,2220,13.90,2,NO_ANNOT,,,Exact,0,Ornithogalum umbellatum L.,Ornithogalum umbellatum,758K8,1,Catalogue of Life,
