Arachnida
Hypochilus
Nemastoma
Hypochilus thorelli
Scytodes thoracica
Pholcus phalangoides
Ariadne bicolor
Sergiolus variegatus
Sergiolus cyaneoventris
Zelotes atra
Zelotes depressa
Zelotes frigida
Callilepis femoralis
C. imbecilla
C. imbecilla sternum
C. imbecilla
Callilepis imbecilla
Drassus robustus
Clubiona abbotti
Clubiona crassipalpis
Clubiona pallens
Clubiona canadensis
Chiraoanthium inclusum
Trachelas tranquilla
Castianeira pinnata
Phrurolithus alarius
P. palustris
Phrurolithus
P. alarius
Phrurolithus formica
Gayenna pectorosa
Gayenna saltabunda
Micaria agilis
Scotinella
Liocranum posterior
Scotina
Apostenus
Scotinella pallida
Agelena
Tegenaria derhami
Cybseus giganteus
Coras medicinalis
Coelotes oalcarata
Cicurina arcuata
Cicurina brevis
Hahnia agilis
Dictyna foliacea
Dictyna sublata
Bictyna armata
Amaurobius bennetti
Theridium tepidariorum
Theridium rupicola
Theridium punctosparsum
Theridium spirale
Theridium differens
Theridium atramontanum
T. differens
Theridium murarium
Theridium blandum
Theridium frondeum
Theridium globosum
Theridula sphaerula
Euryopis funebris
Dipoena nigra
Pedanostethus riparius
Steatoda borealis
Enoplognatha marmorata
Teutana triangulosa
Crustulina guttata
Asagena americana
Lathrodectes mactans
Epesinus amoenus
Spintharus flavidus
Argyrodes trigonum
Argyrodes cancellatus
Ariamnes fictilium
Ceratinella fissiceps
Ceratinella minuta
Ceratinella brunnea
Ceratinella laetabilis
Notionella interpres
Ceratinopis nigripalpis
Ceratinopis alternatus
Maso frontata
Lophocarenum moestum
Diplocephalus rostratus
Diplocephalus carolinus
Gonglydium atramontensis
Hypselistes florens
Grammonata ornata
Cornicularia indirecta
Erigone autumnalis
Linyphia phrygiana
Linyphia maculata
Linyphia grandaeva
Linyphia communis
Linyphia marginata
Neriene clathrata
Linyphiella coccinea
Tapinopa bilineata
Lepthyphantes minuta
Bathyphantes
Bathyphantes micaria
Bathyphantes galbea
Bathyphantes unimaculata
Bathyphantes nigrina
Microneta cornupalpis
Mimetus
Pachygnatha tristriata
Tetragnatha laboriosa
Tetragnatha grallator
Eugnatha straminea
Epeira displicata
Epeira globosa
Epeira foliata
Epeira vulgaris
Epeira infumata
Epeira domiciliorum
Epeira ocellata
Epeira sanguinalis
Epeira juniperi
Epeira sericata
Epeira gigas
Epeira nordmanni
Epeira trifolium
Epeira trivittata
Epeira prompta
Plectana stellata
Metepeira labyrinthea
Acacesia foliata
Zilla montana
Singa truncata
Mangora gibberosa
Mangora maculata
Mangora placida
Cyclosa conica
Theridiosoma radiosa
Gea heptagon
Argiope trifasciata
Argiope aurantia
Leucauge hortorum
Acrosoma gracilis
Acrosoma spinea
Uloborus plumipes
Hyptiotes cavatus
Misumena vatia
Misumena oblonga
Misumessus asperatus
Runoinia aleatoria
