Rica
Trachypterus
Scoliodon
Sphyrua zygaena
Carcharias littoralis
Ginglijmostoma cirratum
Galeocerdo tigrinus
Rhineodon
Pristis pectinatus
Lepisosteus osseus
Amiatus calvus
Tarpon atlanticus
Eiops saurus
Pomolobus
Alosa sapidissima
Albula vulpes
Harengula humeralis
Abramis crysoleucas
Erimyzon sucetta
Dorosoma cepedianum
Synodus foetens
Ophichthus ocellatus
Felichthys marinus
Galeichthys felis
Ameiurus catus
Esox americanus
Fundulus seminolis
Lucania goodei
Jordanella floridae
Gambusia holbrookii
Heterandria formosa
Mollienisia latipinna
Tylosurus notatus
Tylosurus marinus
Labidesthes sicculus
Mugil
Hugil cephalus
Sphyraena barracuda
Sphyraena borealis
Syngnatbus louisianae
Hippocampus hudsonius
Scomberomorus
S. maculatus
Sarda sarda
Istiophorus nigricans
Trichiurus lepturus
Elagatis bipinnulatus
Caranx hippos
Caranx latus
Seriola lalandi
Selene vomer
Trachinotus glaucus
T. falcatus
Trachinotus carolinus
Pomatomus
Rachycentron canadus
Pomoxis sparoides
Chaenobryttus gulosus
Lepomis incisor
Eupomotis holbrooki
Mioropterus salmoides
Centropomus undecimalis
Epinephelus morio
E. striatus
Fromicrops guttatus
Mycteroperca microlepis
Centropristis striatus
Diplectrum formosum
Kyptious saponaceus
Priacanthus arenatus
Lutianus griseus
Lutianus apodus
Lutianus analis
Lutianus synagris
Haemulon parra
Anisotremus virginicus
Orthopristis ohrysopterus
Lagodon rhomboides
Archosargus probatocephalus
Diplodus holbrooki
Eucinostomus gula
Kyphosus sectatrix
Tjpeneus maculatus
Cynoscion nebulosus
Scicenops ocellatus
Leiostomus xanthurus
Mioropogon undulatus
Menticirrhus amerioanus
Harpe rufa
Tridio radiatus
Iridic bivittatus
Sparisoma flavescens
Pseudoscarus guacamaia
Chaetodipterus faber
Hepatus bahianus
Balistes carolinensis
Gmelin
Alutera
Xagocephalus laevigatus
Spheroides spengleri
S. maculatus
Spheroides harperi
Spheroides testudineus
Diodon hystrix
Chilomycterus schoepfi
Soorpaena brasiliensis
Soorpaena plumieri
Echeneis naucrates
Paralichthys lethostigmus
Achirus lineatus
Labrisomus nuchipinnis
Hypsoblennius hentz
Ogcocephalus radiatus
Siren lacertina
Gammarus
Gastrophryne carolinense
Aoris gryllus
Pseudacris nigritus
Hyla squirella
Hyla cinerea
Rana sphenocephala
Hemidactylus mabouia
Anolis principalis
Stilosoma extenuatum
Natrix fasoiatus
Opheodrys aestivus
Diadophis punctatus
Coluber constrictor
Coluber flagellum
Heterodon platirhinos
Latreille
Agkistrodon piscivorus
Sistrurus miliarius
Crotalus adamanteus
Holocentrus adscensionis
Amia
Haemulon soiurus
Diplodus argenteus
Eucinostomus harengulus
Abudefduf mauritii
Chaetodon capistratus
Hepatus bepatus
Mapo soporator
Labrisomus nuchipinnis
Labrisomus lentiginosus
Bufo marinus
Eumeces longirostris
Anguilla chrisypa
Gambusia punctata
Glaridichthys uninotatus
Girardinus metallicus
Eleotris pisonis
Gmelin
Hyla septentrionalis
Eleutherodactylus ricordii
Seco
Eleutherodactylus dimidiatus
Phyllobates limbatus
Gonatodes albogularis
Anolis equestris
Anolis lucius
Anolis argenteolus
Anolis sagrae
Anolis loysiana
Anolis argillaceus
Anolis alutaceus
Anolis porcatus
Anolis angusticeps
Leiocephalus carinatus
Leiocephalus vittatus
Coelestus sagrae
Ameiva auberi
Amphisbsena cubana
Typhlops lumbricalis
Tropidophis melanura
Tretanorhinus variabilis
Alsopbis angulifer
Vigia
Arrbyton vittatus
Gymnothorax moringua
Trachurops crumenophtbalmus
Vomer spixii
Epinepbelus maculosus
Batbystoma rimator
Spheroides testudineus
Ocypode albicans
Remipes scutellatus
Harengula maorophthalmus
Holocentrus adscensionis
Decapterus punotatus
Trachurops crumenophthalmus
Caranx latus
Upeneus maculatus
Upeneus martinicus
Cryptotomus roseus
Cryptotomus roseus
Cryptotomus crassiceps
Sparisoma abbotti
Lips
Sparisoma abbotti
Scarus radians
Sparisoma radiansthus
Scarus lacrimosus
Sparisoma abbotti
Chsetodipterus faber
Hepatus bahianus
Balistes vetula
Grapsus maculatus
Bithynis ensiculus
Pseudothelphusa garmani
Poecilurichthys bimaculatus
Lebistes reticulatus
Conodon nobilis
Equidens pulcher
Eleutherodactylus
Rica
Palcemon jamaicensis
Potamocarcinus nicaraguensis
Rivulus isthmensis
Priapichtliys annectens
Dendrobates typographus
Agalyohius helenae
Homalocranium virgatum
Leptodeira
Ceara
Curimatus cyprinoides
Proohilodus nigricans
P. steindachneri
P. nigricans
Poboiluriolitliys bimaculatus
A. orientalis
Ceara
A. lacustris
A. jacuhiensis
Ceara
Astyanax bimaculatus
A. bimaculatus
P. bimaculatus
Serrasalmus rhombeus
Pygocentrus piraya
Pimelodella
Plecostomus jaguribensis
Plecostomus jaguribensis
P. auroguttatus
P. wuchereri
P. lexi
P. ancistroides
Loricariichthys derbyi
Loricariichthys derbyi
Loricaria spixii
Lebistes
Tropidurus torquatus
