Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Ammocmtes branchialis,Ammocmtes branchialis,581,602,4.79,2,NO_ANNOT,,,Fuzzy,1,Ammocetes branchialis,Ammocetes branchialis,2733075,168,ION,
1,Xoturus gyrinus,Xoturus gyrinus,630,645,5.60,2,NO_ANNOT,,,Fuzzy,1,"Noturus gyrinus (Mitchill, 1817)",Noturus gyrinus,6SCTV,1,Catalogue of Life,
2,Pimephales notatus,Pimephales notatus,800,818,10.86,2,NO_ANNOT,,,Exact,0,"Pimephales notatus (Rafinesque, 1820)",Pimephales notatus,4HWSS,1,Catalogue of Life,
3,Notemigonus chrysoleueus,Notemigonus chrysoleueus,1020,1044,8.27,2,NO_ANNOT,,,Fuzzy,1,Notemigonus chrysoleucus Mitch.,Notemigonus chrysoleucus,4031351,168,ION,
4,Thcnd/ulus zcbrinus,Thcnd�ulus zcbrinus,1100,1119,2.20,2,NO_ANNOT,,,NoMatch,,,,,,,,
5,Zygonectes notatus,Zygonectes notatus,1208,1226,10.91,2,NO_ANNOT,,,Exact,0,Zygonectes notatus,Zygonectes notatus,gn_130440,186,MCZbase,
6,Labidesthes siccalus,Labidesthes siccalus,1299,1319,6.72,2,NO_ANNOT,,,Fuzzy,1,"Labidesthes sicculus (Cope, 1865)",Labidesthes sicculus,6NQ9H,1,Catalogue of Life,
7,Lepomis eyanellus,Lepomis eyanellus,1366,1383,12.16,2,NO_ANNOT,,,Exact,0,Lepomis eyanellus,Lepomis eyanellus,2396834,168,ION,
8,Lepomis megnlolis,Lepomis megnlolis,1421,1438,7.30,2,NO_ANNOT,,,PartialExact,0,Lepomis,Lepomis,5CP2,1,Catalogue of Life,
9,Lepomis humilis,Lepomis humilis,1529,1544,11.97,2,NO_ANNOT,,,Exact,0,"Lepomis humilis (Girard, 1858)",Lepomis humilis,3TG2H,1,Catalogue of Life,
10,Emma,Emma,6914,6918,3.91,1,NO_ANNOT,,,Exact,0,"Emma Gray, 1843",Emma,84NF5,1,Catalogue of Life,
11,"Ancyllus.""",Ancyllus,19851,19861,5.75,1,NO_ANNOT,,,Exact,0,"Ancyllus Haldeman, 1842",Ancyllus,urn:lsid:irmng.org:taxname:1430845,181,IRMNG,
12,"Stilbum.""",Stilbum,20078,20087,3.57,1,NO_ANNOT,,,Exact,0,Stilbum,Stilbum,7NNW,1,Catalogue of Life,
13,"Cassididae,",Cassididae,22823,22834,6.06,1,NO_ANNOT,,,Exact,0,"Cassididae Swainson, 1832",Cassididae,72996,3,ITIS,
14,"Doliidae,",Doliidae,22835,22844,4.11,1,NO_ANNOT,,,Exact,0,"Doliidae Latreille, 1825",Doliidae,urn:lsid:irmng.org:taxname:120946,181,IRMNG,
15,"Ovulidae,",Ovulidae,22845,22854,4.11,1,NO_ANNOT,,,Exact,0,"Ovulidae J. Fleming, 1822",Ovulidae,7NK8F,1,Catalogue of Life,
16,"Strombidae,",Strombidae,22855,22866,4.45,1,NO_ANNOT,,,Exact,0,"Strombidae Rafinesque, 1815",Strombidae,7NL6Y,1,Catalogue of Life,
17,"Naticidae,",Naticidae,22867,22877,4.28,1,NO_ANNOT,,,Exact,0,"Naticidae Guilding, 1834",Naticidae,7NJY4,1,Catalogue of Life,
18,"Vitrinidae,",Vitrinidae,22878,22889,4.45,1,NO_ANNOT,,,Exact,0,"Vitrinidae Fitzinger, 1833",Vitrinidae,7NLJY,1,Catalogue of Life,
19,"Limacidae,",Limacidae,22890,22900,5.90,1,NO_ANNOT,,,Exact,0,"Limacidae Lamarck, 1801",Limacidae,7NJFF,1,Catalogue of Life,
20,"Zonitidae,",Zonitidae,22922,22932,4.28,1,NO_ANNOT,,,Exact,0,"Zonitidae Mörch, 1864",Zonitidae,7NLLJ,1,Catalogue of Life,
21,Cypraeidae,Cypraeidae,22995,23005,6.06,1,NO_ANNOT,,,Exact,0,"Cypraeidae Rafinesque, 1815",Cypraeidae,7NH4B,1,Catalogue of Life,
22,"Coleoptera,",Coleoptera,26244,26255,3.70,1,NO_ANNOT,,,Exact,0,Coleoptera,Coleoptera,C2L,1,Catalogue of Life,
23,"LeConte,",Leconte,26267,26275,3.57,1,NO_ANNOT,,,Exact,0,Hypaetha (Leconte ),Leconte,4247785,168,ION,
24,"Elateridae,",Elateridae,26321,26332,6.06,1,NO_ANNOT,,,Exact,0,Elateridae,Elateridae,9LS,1,Catalogue of Life,
25,"Asilidae,",Asilidae,26379,26388,4.11,1,NO_ANNOT,,,Exact,0,Asilidae,Asilidae,89PQ4,1,Catalogue of Life,
26,"Lepidoptera,",Lepidoptera,26473,26485,3.82,1,NO_ANNOT,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
27,Cryptobium,Cryptobium,26530,26540,5.45,1,NO_ANNOT,,,Exact,0,"Cryptobium Mannerheim, 1831",Cryptobium,urn:lsid:irmng.org:taxname:1374054,181,IRMNG,
28,"Meloidae,",Meloidae,26602,26611,4.11,1,NO_ANNOT,,,Exact,0,Meloidae,Meloidae,624LC,1,Catalogue of Life,
29,"Scarabaeidae,",Scarabaeidae,26660,26673,4.81,1,NO_ANNOT,,,Exact,0,"Scarabaeidae Latreille, 1802",Scarabaeidae,6278C,1,Catalogue of Life,
