Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Caniisnella platyodon,Caniisnella platyodon,2517,2538,5.90,2,NO_ANNOT,,,NoMatch,,,,,,,,
1,Caracolus,Caracolus,6982,6991,5.92,1,NO_ANNOT,,,Exact,0,"Caracolus Montfort, 1810",Caracolus,7NRVB,1,Catalogue of Life,
2,Dentellaria,Dentellaria,7034,7045,5.14,1,NO_ANNOT,,,Exact,0,"Dentellaria Schumacher, 1817",Dentellaria,7P2VT,1,Catalogue of Life,
3,Punctum',Punctum,7806,7814,4.47,1,NO_ANNOT,,,Exact,0,"Punctum Morse, 1864",Punctum,7PF8V,1,Catalogue of Life,
4,Macroon.,Macroon,8040,8048,3.17,1,NO_ANNOT,,,Exact,0,"Macroon Pilsbry in Tryon & Pilsbry, 1891",Macroon,urn:lsid:irmng.org:taxname:1382787,181,IRMNG,
5,Dentellaria,Dentellaria,8305,8316,5.14,1,NO_ANNOT,,,Exact,0,"Dentellaria Schumacher, 1817",Dentellaria,7P2VT,1,Catalogue of Life,
6,Haplogona.,Haplogona,8712,8722,4.02,1,NO_ANNOT,,,Exact,0,"Haplogona Cook, 1895",Haplogona,7PJCN,1,Catalogue of Life,
7,MACROON,Macroon,8800,8807,3.17,1,NO_ANNOT,,,Exact,0,"Macroon Pilsbry in Tryon & Pilsbry, 1891",Macroon,urn:lsid:irmng.org:taxname:1382787,181,IRMNG,
8,ACAVUS,Acavus,9235,9241,3.75,1,NO_ANNOT,,,Exact,0,"Acavus Montfort, 1810",Acavus,7NYNF,1,Catalogue of Life,
9,PYROCHILUS,Pyrochilus,9392,9402,6.09,1,NO_ANNOT,,,Exact,0,"Pyrochilus Pilsbry, 1893",Pyrochilus,7PFDX,1,Catalogue of Life,
10,STYLODONTA,Stylodonta,9575,9585,3.79,1,NO_ANNOT,,,Exact,0,"Stylodonta De Cristofori & Jan, 1832",Stylodonta,7PHPY,1,Catalogue of Life,
11,HELICOPHANTA,Helicophanta,9836,9848,4.15,1,NO_ANNOT,,,Exact,0,"Helicophanta A. Férussac, 1821",Helicophanta,7P4XL,1,Catalogue of Life,
12,Phania,Phania,9980,9986,3.32,1,NO_ANNOT,,,Exact,0,Phania DC.,Phania,6MTK,1,Catalogue of Life,
13,Diptera,Diptera,10060,10067,4.73,1,NO_ANNOT,,,Exact,0,Diptera Borkh.,Diptera,5T8Z6,1,Catalogue of Life,
14,Meigen,Meigen,10081,10087,0.54,1,NO_ANNOT,,,Exact,0,"Cryphia (Meigen) Meigen, 1830",Meigen,918956,2,Wikispecies,
15,Helix pyrostoma,Helix pyrostoma,10103,10118,9.01,2,NO_ANNOT,,,Exact,0,"Helix pyrostoma Férussac, 1821",Helix pyrostoma,7RMKN,1,Catalogue of Life,
16,Cressa,Cressa,11053,11059,4.02,1,NO_ANNOT,,,Exact,0,"Cressa Boeck, 1871",Cressa,7NTS7,1,Catalogue of Life,
17,Arianta,Arianta,11978,11985,3.21,1,NO_ANNOT,,,Exact,0,"Arianta W. Turton, 1831",Arianta,7NR52,1,Catalogue of Life,
18,Elona,Elona,11996,12001,3.17,1,NO_ANNOT,,,Exact,0,"Elona H. Adams & A. Adams, 1855",Elona,7P3D7,1,Catalogue of Life,
19,Isognomostoma,Isognomostoma,12013,12026,5.72,1,NO_ANNOT,,,Exact,0,"Isognomostoma Fitzinger, 1833",Isognomostoma,7P5ZB,1,Catalogue of Life,
20,Pomatia,Pomatia,12027,12034,4.87,1,NO_ANNOT,,,Exact,0,"Pomatia Beck, 1837",Pomatia,urn:lsid:irmng.org:taxname:1317790,181,IRMNG,
21,Eremina,Eremina,12035,12042,3.72,1,NO_ANNOT,,,Exact,0,"Eremina L. Pfeiffer, 1855",Eremina,7P3KT,1,Catalogue of Life,
22,Macularia,Macularia,12043,12052,4.85,1,NO_ANNOT,,,Exact,0,"Macularia Albers, 1850",Macularia,7P885,1,Catalogue of Life,
23,Tachea,Tachea,12053,12059,4.35,1,NO_ANNOT,,,Exact,0,"Tachea Fleming, 1822",Tachea,urn:lsid:irmng.org:taxname:1111630,181,IRMNG,
24,Hemicycla,Hemicycla,12068,12077,4.46,1,NO_ANNOT,,,Exact,0,"Hemicycla Swainson, 1840",Hemicycla,7P4ZH,1,Catalogue of Life,
25,Leptaxis,Leptaxis,12078,12086,5.09,1,NO_ANNOT,,,Exact,0,"Leptaxis R. T. Lowe, 1852",Leptaxis,7P77T,1,Catalogue of Life,
26,Eulota,Eulota,12097,12103,2.96,1,NO_ANNOT,,,Exact,0,Eulota,Eulota,7P3PJ,1,Catalogue of Life,
27,Fruticicola,Fruticicola,12104,12115,5.97,1,NO_ANNOT,,,Exact,0,"Fruticicola Held, 1838",Fruticicola,7P43P,1,Catalogue of Life,
28,Euparypha,Euparypha,12116,12125,5.55,1,NO_ANNOT,,,Exact,0,"Euparypha W. Hartmann, 1843",Euparypha,urn:lsid:marinespecies.org:taxname:998672,9,WoRMS,
29,Xerophila,Xerophila,12126,12135,4.16,1,NO_ANNOT,,,Exact,0,Eremophila sect. Xerophila F.Muell.,Xerophila,125715-3,167,IPNI,
30,Ochthephila,Ochthephila,12411,12422,4.45,1,NO_ANNOT,,,Exact,0,"Ochthephila Beck, 1837",Ochthephila,urn:lsid:irmng.org:taxname:1300321,181,IRMNG,
31,Craspedaria,Craspedaria,12430,12441,5.14,1,NO_ANNOT,,,Exact,0,"Craspedaria R. T. Lowe, 1852",Craspedaria,7NGD6,1,Catalogue of Life,
32,Geotrochus,Geotrochus,12534,12544,4.99,1,NO_ANNOT,,,Exact,0,"Geotrochus van Hasselt, 1823",Geotrochus,7P497,1,Catalogue of Life,
33,H. rugulosa crepidostoma,H. rugulosa crepidostoma,12558,12582,10.70,3,NO_ANNOT,,,NoMatch,,,,,,,,
34,Macularia,Macularia,12738,12747,4.85,1,NO_ANNOT,,,Exact,0,"Macularia Albers, 1850",Macularia,7P885,1,Catalogue of Life,
35,Leptaxis,Leptaxis,12752,12760,5.09,1,NO_ANNOT,,,Exact,0,"Leptaxis R. T. Lowe, 1852",Leptaxis,7P77T,1,Catalogue of Life,
36,Hemicycla,Hemicycla,12761,12770,4.46,1,NO_ANNOT,,,Exact,0,"Hemicycla Swainson, 1840",Hemicycla,7P4ZH,1,Catalogue of Life,
37,Corasia,Corasia,13333,13340,3.64,1,NO_ANNOT,,,Exact,0,"Corasia Albers, 1850",Corasia,urn:lsid:irmng.org:taxname:1174510,181,IRMNG,
38,Eurycratera,Eurycratera,13350,13361,5.44,1,NO_ANNOT,,,Exact,0,"Eurycratera H. Beck, 1837",Eurycratera,7P3QW,1,Catalogue of Life,
39,Coryda,Coryda,13362,13368,3.27,1,NO_ANNOT,,,Exact,0,"Coryda Albers, 1850",Coryda,7P2CN,1,Catalogue of Life,
40,Dentellaria,Dentellaria,13369,13380,5.14,1,NO_ANNOT,,,Exact,0,"Dentellaria Schumacher, 1817",Dentellaria,7P2VT,1,Catalogue of Life,
41,Thelidomus,Thelidomus,13396,13406,5.49,1,NO_ANNOT,,,Exact,0,"Thelidomus Swainson, 1840",Thelidomus,7PJCX,1,Catalogue of Life,
42,Mesodon,Mesodon,13407,13414,3.76,1,NO_ANNOT,,,Exact,0,"Mesodon A. Férussac, 1821",Mesodon,7P8R2,1,Catalogue of Life,
43,Triodopsis,Triodopsis,13415,13425,5.11,1,NO_ANNOT,,,Exact,0,"Triodopsis Rafinesque, 1819",Triodopsis,7PJXQ,1,Catalogue of Life,
44,Gonostoma,Gonostoma,13691,13700,5.11,1,NO_ANNOT,,,Exact,0,Gonostoma,Gonostoma,634MF,1,Catalogue of Life,
45,Tachea,Tachea,13809,13815,4.35,1,NO_ANNOT,,,Exact,0,"Tachea Fleming, 1822",Tachea,urn:lsid:irmng.org:taxname:1111630,181,IRMNG,
46,Macularia,Macularia,13816,13825,4.85,1,NO_ANNOT,,,Exact,0,"Macularia Albers, 1850",Macularia,7P885,1,Catalogue of Life,
47,Dorcasia,Dorcasia,14279,14287,3.89,1,NO_ANNOT,,,Exact,0,"Dorcasia Gray, 1838",Dorcasia,7P35R,1,Catalogue of Life,
48,Metodontia,Metodontia,14330,14340,5.46,1,NO_ANNOT,,,Exact,0,"Metodontia Möllendorff, 1886",Metodontia,7P8SW,1,Catalogue of Life,
49,H. bidens,H. bidens,14384,14393,5.46,2,NO_ANNOT,,,NoMatch,,,,,,,,
50,Vallonia,Vallonia,14448,14456,3.87,1,NO_ANNOT,,,Exact,0,"Vallonia Risso, 1826",Vallonia,7PKLQ,1,Catalogue of Life,
51,Aegista,Aegista,14614,14621,3.40,1,NO_ANNOT,,,Exact,0,"Aegista Albers, 1850",Aegista,7NN69,1,Catalogue of Life,
52,Euhadra,Euhadra,14656,14663,4.68,1,NO_ANNOT,,,Exact,0,"Euhadra Pilsbry, 1890",Euhadra,7P3P7,1,Catalogue of Life,
53,Eurycampta may,Eurycampta may,15102,15116,3.17,2,NO_ANNOT,,,PartialExact,0,"Eurycampta E. von Martens, 1860",Eurycampta,7P3QT,1,Catalogue of Life,
54,Glypterpes,Glypterpes,15190,15200,4.11,1,NO_ANNOT,,,Exact,0,"Glypterpes Pilsbry, 1893",Glypterpes,7P4DW,1,Catalogue of Life,
55,Helix veterna,Helix veterna,15220,15233,7.65,2,NO_ANNOT,,,Exact,0,"Helix veterna Meek & Hayden, 1861",Helix veterna,84X2S,1,Catalogue of Life,
56,GONOSTOMA,Gonostoma,15421,15430,5.11,1,NO_ANNOT,,,Exact,0,Gonostoma,Gonostoma,634MF,1,Catalogue of Life,
57,LEUCOCHROA,Leucochroa,15519,15529,4.45,1,NO_ANNOT,,,Exact,0,"Leucochroa Beck, 1837",Leucochroa,urn:lsid:irmng.org:taxname:1390978,181,IRMNG,
58,Zonites,Zonites,15822,15829,2.96,1,NO_ANNOT,,,Exact,0,"Zonites Montfort, 1810",Zonites,7PLG3,1,Catalogue of Life,
59,L. candidissima.,L. candidissima,15957,15973,6.70,2,NO_ANNOT,,,NoMatch,,,,,,,,
60,ALLOGNATHUS,Allognathus,15980,15991,5.11,1,NO_ANNOT,,,Exact,0,"Allognathus Pilsbry, 1888",Allognathus,7NNMS,1,Catalogue of Life,
61,A. grateloupi,A. grateloupi,16775,16788,4.49,2,NO_ANNOT,,,NoMatch,,,,,,,,
62,COCHLOSTYLA,Cochlostyla,16916,16927,5.31,1,NO_ANNOT,,,Exact,0,"Cochlostyla Férussac, 1821",Cochlostyla,7P23Y,1,Catalogue of Life,
63,POLYMITA,Polymita,17199,17207,4.72,1,NO_ANNOT,,,Exact,0,"Polymita H. Beck, 1837",Polymita,7PD3P,1,Catalogue of Life,
64,Hemitrochus,Hemitrochus,17495,17506,5.11,1,NO_ANNOT,,,Exact,0,"Hemitrochus Swainson, 1840",Hemitrochus,7P52R,1,Catalogue of Life,
65,HEMITROCHUS,Hemitrochus,17752,17763,5.11,1,NO_ANNOT,,,Exact,0,"Hemitrochus Swainson, 1840",Hemitrochus,7P52R,1,Catalogue of Life,
66,Hemitrochus,Hemitrochus,18237,18248,5.11,1,NO_ANNOT,,,Exact,0,"Hemitrochus Swainson, 1840",Hemitrochus,7P52R,1,Catalogue of Life,
67,Plagioptycha,Plagioptycha,18257,18269,5.24,1,NO_ANNOT,,,Exact,0,"Plagioptycha L. Pfeiffer, 1855",Plagioptycha,7PCQH,1,Catalogue of Life,
68,Dialeuca,Dialeuca,18270,18278,5.09,1,NO_ANNOT,,,Exact,0,"Dialeuca Albers, 1850",Dialeuca,7P2XB,1,Catalogue of Life,
69,Coryda,Coryda,18279,18285,3.27,1,NO_ANNOT,,,Exact,0,"Coryda Albers, 1850",Coryda,7P2CN,1,Catalogue of Life,
70,Jeanneretia.,Jeanneretia,18298,18310,5.58,1,NO_ANNOT,,,Exact,0,"Jeanneretia L. Pfeiffer, 1877",Jeanneretia,7P64N,1,Catalogue of Life,
71,Oxychona,Oxychona,18344,18352,3.85,1,NO_ANNOT,,,Exact,0,"Oxychona Mörch, 1852",Oxychona,7PBG6,1,Catalogue of Life,
72,Cochlostyla,Cochlostyla,18457,18468,5.31,1,NO_ANNOT,,,Exact,0,"Cochlostyla Férussac, 1821",Cochlostyla,7P23Y,1,Catalogue of Life,
73,Cochlostyla,Cochlostyla,18692,18703,5.31,1,NO_ANNOT,,,Exact,0,"Cochlostyla Férussac, 1821",Cochlostyla,7P23Y,1,Catalogue of Life,
74,Hypoptychus,Hypoptychus,18918,18929,5.11,1,NO_ANNOT,,,Exact,0,Hypoptychus,Hypoptychus,52VR,1,Catalogue of Life,
75,H. cepoides,H. cepoides,18930,18941,5.83,2,NO_ANNOT,,,NoMatch,,,,,,,,
76,Plagioptycha.,Plagioptycha,19101,19114,5.24,1,NO_ANNOT,,,Exact,0,"Plagioptycha L. Pfeiffer, 1855",Plagioptycha,7PCQH,1,Catalogue of Life,
77,GLYPTOSTOMA,Glyptostoma,19121,19132,5.40,1,NO_ANNOT,,,Exact,0,"Glyptostoma Bland & W.G. Binney, 1873",Glyptostoma,7P3XS,1,Catalogue of Life,
78,ACANTHINULA,Acanthinula,19611,19622,5.30,1,NO_ANNOT,,,Exact,0,"Acanthinula H. Beck, 1847",Acanthinula,7NMK8,1,Catalogue of Life,
79,VALLONIA,Vallonia,19713,19721,3.87,1,NO_ANNOT,,,Exact,0,"Vallonia Risso, 1826",Vallonia,7PKLQ,1,Catalogue of Life,
80,SAGDA,Sagda,20140,20145,2.73,1,NO_ANNOT,,,Exact,0,"Sagda H. Beck, 1837",Sagda,7PG48,1,Catalogue of Life,
81,CYSTICOPSIS,Cysticopsis,20787,20798,5.23,1,NO_ANNOT,,,Exact,0,"Cysticopsis Mörch, 1852",Cysticopsis,7P2QH,1,Catalogue of Life,
82,Chloritis.,Chloritis,21842,21852,5.81,1,NO_ANNOT,,,Exact,0,"Chloritis Beck, 1837",Chloritis,7NZ8X,1,Catalogue of Life,
83,Hadra.,Hadra,21853,21859,4.24,1,NO_ANNOT,,,Exact,0,"Hadra E. von Martens, 1860",Hadra,7P4PD,1,Catalogue of Life,
84,Planispira.,Planispira,21884,21895,4.95,1,NO_ANNOT,,,Exact,0,"Planispira Beck, 1837",Planispira,7PCR6,1,Catalogue of Life,
85,Papuina.,Papuina,21896,21904,3.72,1,NO_ANNOT,,,Exact,0,"Papuina E. von Martens, 1860",Papuina,7PBPT,1,Catalogue of Life,
86,CARACOLUS,Caracolus,21967,21976,5.92,1,NO_ANNOT,,,Exact,0,"Caracolus Montfort, 1810",Caracolus,7NRVB,1,Catalogue of Life,
87,Caracolus,Caracolus,22398,22407,5.92,1,NO_ANNOT,,,Exact,0,"Caracolus Montfort, 1810",Caracolus,7NRVB,1,Catalogue of Life,
88,Lucerna,Lucerna,22414,22421,3.74,1,NO_ANNOT,,,Exact,0,"Lucerna Swainson, 1840",Lucerna,7P7XC,1,Catalogue of Life,
