Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,BATRACHIA,Batrachia,19,28,4.42,1,NO_ANNOT,,,Exact,0,Conophytum sect. Batrachia Opel & S.A.Hammer,Batrachia,1008552-1,167,IPNI,
1,BATRACHIA.,Batrachia,546,556,4.42,1,NO_ANNOT,,,Exact,0,Conophytum sect. Batrachia Opel & S.A.Hammer,Batrachia,1008552-1,167,IPNI,
2,Amblystoma punctatum,Amblystoma punctatum,557,577,12.67,2,NO_ANNOT,,,Exact,0,Amblystoma punctatum,Amblystoma punctatum,gn_205187,186,MCZbase,
3,Spelerpes maculicaudus,Spelerpes maculicaudus,581,603,11.02,2,SP_NOV,,,Exact,0,"Spelerpes maculicaudus (Cope, 1890)",Spelerpes maculicaudus,4YHJ9,1,Catalogue of Life,
4,Spelerpes melanoplenrus,Spelerpes melanoplenrus,609,632,6.23,2,SP_NOV,,,Fuzzy,1,"Spelerpes melanopleurus Cope, 1894",Spelerpes melanopleurus,4YHJD,1,Catalogue of Life,
5,S. bilineatus,S. bilineatus,670,683,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
6,S. bilineatus,S. bilineatus,994,1007,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
7,S. bilineatus.,S. bilineatus,1082,1096,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
8,S. bilineatus.,S. bilineatus,1271,1285,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
9,S. bilineatus.,S. bilineatus,1332,1346,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
10,S. bilineatus.,S. bilineatus,1533,1547,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
11,S. bilineatus.,S. bilineatus,1690,1704,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
12,S. bilineatus,S. bilineatus,1932,1945,7.50,2,NO_ANNOT,,,NoMatch,,,,,,,,
13,Typhlotriton,Typhlotriton,2069,2081,3.70,1,NO_ANNOT,,,Exact,0,"Typhlotriton Stejneger, 1892",Typhlotriton,84B2,1,Catalogue of Life,
14,Desmognathus,Desmognathus,2923,2935,5.35,1,NO_ANNOT,,,Exact,0,"Desmognathus Baird, 1850",Desmognathus,43NW,1,Catalogue of Life,
15,Typhlotriton,Typhlotriton,3074,3086,3.70,1,NO_ANNOT,,,Exact,0,"Typhlotriton Stejneger, 1892",Typhlotriton,84B2,1,Catalogue of Life,
16,Thorius,Thorius,3170,3177,4.56,1,NO_ANNOT,,,Exact,0,"Thorius Cope, 1869",Thorius,7W8J,1,Catalogue of Life,
17,Desmognathus.,Desmognathus,3701,3714,5.35,1,NO_ANNOT,,,Exact,0,"Desmognathus Baird, 1850",Desmognathus,43NW,1,Catalogue of Life,
18,Desmognathus,Desmognathus,3759,3771,5.35,1,NO_ANNOT,,,Exact,0,"Desmognathus Baird, 1850",Desmognathus,43NW,1,Catalogue of Life,
19,Sceloporus undulatus,Sceloporus undulatus,3915,3935,11.95,2,NO_ANNOT,,,Exact,0,"Sceloporus undulatus (Bosc & Daudin, 1801)",Sceloporus undulatus,4V5CX,1,Catalogue of Life,
