Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,HYMENOPTERA,Hymenoptera,36,47,5.44,1,NO_ANNOT,,,Exact,0,Hymenoptera,Hymenoptera,HYM,1,Catalogue of Life,
1,Hymenoptera made,Hymenoptera made,175,191,4.21,2,NO_ANNOT,,,PartialExact,0,Hymenoptera,Hymenoptera,HYM,1,Catalogue of Life,
2,Ampulex trigonopsis,Ampulex trigonopsis,351,370,12.70,2,NO_ANNOT,,,Exact,0,"Ampulex trigonopsis F. Smith, 1873",Ampulex trigonopsis,D7YP,1,Catalogue of Life,
3,Sceliphron,Sceliphron,601,611,4.64,1,NO_ANNOT,,,Exact,0,"Sceliphron Klug, 1801",Sceliphron,7D8R,1,Catalogue of Life,
4,Trigonopsis rufiventre,Trigonopsis rufiventre,612,634,11.36,2,NO_ANNOT,,,Fuzzy,2,"Trigonopsis rufiventris (Fabricius, 1804)",Trigonopsis rufiventris,58SV2,1,Catalogue of Life,
5,Sceliphron,Sceliphron,688,698,4.64,1,NO_ANNOT,,,Exact,0,"Sceliphron Klug, 1801",Sceliphron,7D8R,1,Catalogue of Life,
6,Podium denticulatum,Podium denticulatum,699,718,10.91,2,NO_ANNOT,,,Exact,0,"Podium denticulatum F. Smith, 1856",Podium denticulatum,4KPVV,1,Catalogue of Life,
7,Sceliphron,Sceliphron,767,777,4.64,1,NO_ANNOT,,,Exact,0,"Sceliphron Klug, 1801",Sceliphron,7D8R,1,Catalogue of Life,
8,Podium consanguineum,Podium consanguineum,778,798,9.62,2,NO_ANNOT,,,Exact,0,"Podium consanguineum F. Smith, 1856",Podium consanguineum,4KPVT,1,Catalogue of Life,
9,Sceliphron,Sceliphron,904,914,4.64,1,NO_ANNOT,,,Exact,0,"Sceliphron Klug, 1801",Sceliphron,7D8R,1,Catalogue of Life,
10,Podium flavipenne,Podium flavipenne,916,933,8.72,2,NO_ANNOT,,,Exact,0,"Podium flavipenne Latreille, 1809",Podium flavipenne,4KPW3,1,Catalogue of Life,
11,Sceliphron,Sceliphron,994,1004,4.64,1,NO_ANNOT,,,Exact,0,"Sceliphron Klug, 1801",Sceliphron,7D8R,1,Catalogue of Life,
12,Podium romandinum,Podium romandinum,1005,1022,10.45,2,NO_ANNOT,,,Exact,0,"Podium romandinum de Saussure, 1867",Podium romandinum,4KPWZ,1,Catalogue of Life,
13,Podium haematogastrum,Podium haematogastrum,1096,1117,10.82,2,NO_ANNOT,,,Exact,0,"Podium haematogastrum Spinola, 1851",Podium haematogastrum,4KPWB,1,Catalogue of Life,
14,Podium egregium.,Podium egregium,1555,1571,9.96,2,NO_ANNOT,,,Exact,0,"Podium egregium de Saussure, 1867",Podium egregium,4KPVY,1,Catalogue of Life,
15,Sceliphron fistulare,Sceliphron fistulare,1575,1595,10.11,2,NO_ANNOT,,,PartialExact,0,"Sceliphron Klug, 1801",Sceliphron,7D8R,1,Catalogue of Life,
16,Sceliphron figulum,Sceliphron figulum,1657,1675,11.20,2,NO_ANNOT,,,Exact,0,Sceliphron figulum Dahl.,Sceliphron figulum,3358414,168,ION,
17,Ammophila opulenta,Ammophila opulenta,1729,1747,10.36,2,NO_ANNOT,,,Exact,0,"Ammophila opulenta Guérin-Méneville, 1838",Ammophila opulenta,CV5D,1,Catalogue of Life,
18,Ammophila miliaris,Ammophila miliaris,2064,2082,11.23,2,NO_ANNOT,,,Exact,0,"Ammophila miliaris Cameron, 1888",Ammophila miliaris,CV3W,1,Catalogue of Life,
19,Ammophila abbreviata,Ammophila abbreviata,2243,2263,12.18,2,NO_ANNOT,,,Exact,0,"Ammophila abbreviata (Fabricius, 1804)",Ammophila abbreviata,66CNX,1,Catalogue of Life,
20,Ammophila aureonotata,Ammophila aureonotata,2300,2321,12.48,2,NO_ANNOT,,,Exact,0,"Ammophila aureonotata Cameron, 1888",Ammophila aureonotata,66CPV,1,Catalogue of Life,
21,Ammophila moneta,Ammophila moneta,2426,2442,9.93,2,NO_ANNOT,,,Exact,0,"Ammophila moneta F. Smith, 1856",Ammophila moneta,CV49,1,Catalogue of Life,
22,A. ragilis,A. ragilis,2672,2682,6.61,2,NO_ANNOT,,,NoMatch,,,,,,,,
23,Moneta,Moneta,2690,2696,4.48,1,NO_ANNOT,,,Exact,0,Moneta,Moneta,84QJR,1,Catalogue of Life,
24,Ammophila asperata,Ammophila asperata,2737,2755,11.90,2,SP_NOV,,,Exact,0,"Ammophila asperata W. Fox, 1897",Ammophila asperata,66D28,1,Catalogue of Life,
25,Sphex,Sphex,4472,4477,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
26,Ohlorion hemiprasinus,Ohlorion hemiprasinus,4478,4499,4.03,2,NO_ANNOT,,,Fuzzy,1,Chlorion hemiprasinus,Chlorion hemiprasinus,2531837,168,ION,
27,Sphex,Sphex,4542,4547,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
28,Chlorion cyaniventris,Chlorion cyaniventris,4548,4569,10.32,2,NO_ANNOT,,,Exact,0,"Chlorion cyaniventris (Guérin-Méneville, 1843)",Chlorion cyaniventris,5XWMK,1,Catalogue of Life,
29,Sphex,Sphex,4631,4636,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
30,Isodontia nigrocaeruleus,Isodontia nigrocaeruleus,4637,4661,12.62,2,NO_ANNOT,,,PartialExact,0,"Isodontia Patton, 1880",Isodontia,55G7,1,Catalogue of Life,
31,Sphex,Sphex,4717,4722,2.73,1,NO_ANNOT,,,Exact,0,"Sphex Linnaeus, 1758",Sphex,7KTP,1,Catalogue of Life,
32,Isodontia costipennis,Isodontia costipennis,4723,4744,12.89,2,NO_ANNOT,,,Exact,0,"Isodontia costipennis (Spinola, 1851)",Isodontia costipennis,6N9D7,1,Catalogue of Life,
