Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,NOMADA,Nomada,18,24,2.10,1,NO_ANNOT,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
1,Scutellum black  anterior,Scutellum black anterior,686,711,6.53,3,NO_ANNOT,,,PartialExact,0,Scutellum,Scutellum,63SY7,1,Catalogue of Life,
2,Scutellum,Scutellum,768,777,5.86,1,NO_ANNOT,,,Exact,0,Scutellum,Scutellum,63SY7,1,Catalogue of Life,
3,Scutellum black size,Scutellum black size,3239,3259,3.87,3,NO_ANNOT,,,PartialExact,0,Scutellum,Scutellum,63SY7,1,Catalogue of Life,
4,Scutellum,Scutellum,3269,3278,5.86,1,NO_ANNOT,,,Exact,0,Scutellum,Scutellum,63SY7,1,Catalogue of Life,
5,Notes.,Notes,5634,5640,2.52,1,SP_NOV,,,Exact,0,Notes,Notes,3950760,168,ION,
6,Nomada,Nomada,5641,5647,2.10,1,SP_NOV,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
7,Holonomada,Holonomada,5648,5658,2.98,1,SP_NOV,,,Exact,0,"Holonomada Robertson, 1903",Holonomada,urn:lsid:irmng.org:taxname:1171256,181,IRMNG,
8,A.␤edwardsii,A. edwardsii,5740,5752,6.58,2,NO_ANNOT,,,NoMatch,,,,,,,,
9,N. edwardsii,N. edwardsii,5911,5923,6.58,2,NO_ANNOT,,,NoMatch,,,,,,,,
10,Nomada,Nomada,6906,6912,2.10,1,SP_NOV,,,Exact,0,"Nomada Scopoli, 1770",Nomada,64QG,1,Catalogue of Life,
