Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,LeConte,Leconte,83,90,3.57,1,NO_ANNOT,,,Exact,0,Hypaetha (Leconte ),Leconte,4247785,168,ION,
1,Pteropus,Pteropus,345,353,5.73,1,NO_ANNOT,,,Exact,0,"Pteropus Brisson, 1762",Pteropus,64365,1,Catalogue of Life,
2,Vivera,Vivera,369,375,4.43,1,NO_ANNOT,,,Exact,0,"Vivera Geoffrey & Cuvier, 1825",Vivera,urn:lsid:irmng.org:taxname:1119333,181,IRMNG,
3,Putorius noveboracensis,Putorius noveboracensis,523,546,12.73,2,NO_ANNOT,,,Exact,0,"Putorius noveboracensis Emmons, 1840",Putorius noveboracensis,4QLCS,1,Catalogue of Life,
4,Equus grevyi.,Equus grevyi,652,665,7.90,2,NO_ANNOT,,,Exact,0,"Equus (Hippotigris) grevyi Oustalet, 1882",Equus grevyi,7TKN5,1,Catalogue of Life,
5,Kobus,Kobus,700,705,3.62,1,NO_ANNOT,,,Exact,0,"Kobus A. Smith, 1840",Kobus,58M2,1,Catalogue of Life,
6,Cervicapra.,Cervicapra,715,726,3.85,1,NO_ANNOT,,,Exact,0,"Cervicapra Sparrman, 1780",Cervicapra,3L9V,1,Catalogue of Life,
7,Marmota monax,Marmota monax,754,767,7.68,2,NO_ANNOT,,,Exact,0,"Marmota (Marmota) monax (Linnaeus, 1758)",Marmota monax,7VSDR,1,Catalogue of Life,
8,Putorius vison,Putorius vison,939,953,8.06,2,NO_ANNOT,,,Exact,0,Putorius vison (Schreber 1777),Putorius vison,51277,172,PaleoBioDB,
9,Putorius cicognani.,Putorius cicognani,999,1018,11.22,2,NO_ANNOT,,,Exact,0,Putorius cicognani,Putorius cicognani,gn_176788,186,MCZbase,
10,Vespertilio fuscus.,Vespertilio fuscus,1082,1101,11.57,2,NO_ANNOT,,,Exact,0,"Vespertilio fuscus Palisot de Beauvois, 1796",Vespertilio fuscus,7G35N,1,Catalogue of Life,
11,Mus rattus,Mus rattus,1132,1142,7.04,2,NO_ANNOT,,,Exact,0,"Mus rattus Linnaeus, 1758",Mus rattus,urn:lsid:marinespecies.org:taxname:993637,9,WoRMS,
12,Macropus antilopenus,Macropus antilopenus,1260,1280,8.37,2,NO_ANNOT,,,Fuzzy,1,"Macropus (Osphranter) antilopinus (Gould, 1841)",Macropus antilopinus,7VR5L,1,Catalogue of Life,
13,Mellivora indica,Mellivora indica,1288,1304,12.85,2,NO_ANNOT,,,Exact,0,Mellivora indica (Kerr 1792),Mellivora indica,233978,172,PaleoBioDB,
14,Castor fiber,Castor fiber,1345,1357,4.89,2,NO_ANNOT,,,Exact,0,"Castor fiber Linnaeus, 1758",Castor fiber,RQPW,1,Catalogue of Life,
15,Bear iUrsus tibetanus,Bear iursus tibetanus,1368,1389,,3,NO_ANNOT,,,NoMatch,,,,,,,,
16,Aelurus fulgens,Aelurus fulgens,1396,1411,11.09,2,NO_ANNOT,,,Exact,0,Aelurus fulgens,Aelurus fulgens,4152910,168,ION,
17,Felis pardalis,Felis pardalis,1419,1433,10.57,2,NO_ANNOT,,,Exact,0,"Felis pardalis Linnaeus, 1758",Felis pardalis,3DXVT,1,Catalogue of Life,
18,Lutra hudsonica vaga,Lutra hudsonica vaga,1468,1488,13.54,3,NO_ANNOT,,,Exact,0,"Lutra hudsonica vaga Bangs, 1898",Lutra hudsonica vaga,5JFS3,1,Catalogue of Life,
19,Felis concolor costaricensis,Felis concolor costaricensis,1511,1539,16.19,3,NO_ANNOT,,,Exact,0,"Felis concolor costaricensis Merriam, 1901",Felis concolor costaricensis,5HBZ9,1,Catalogue of Life,
20,Felis eyra.,Felis eyra,1557,1568,3.25,2,NO_ANNOT,,,Exact,0,Felis eyra (Fischer 1814),Felis eyra,231947,172,PaleoBioDB,
21,Arctictis binturong.,Arctictis binturong,1635,1655,6.28,2,NO_ANNOT,,,Exact,0,"Arctictis binturong (Raffles, 1821)",Arctictis binturong,5VRMH,1,Catalogue of Life,
22,Icterus hypomelas,Icterus hypomelas,1763,1780,4.65,2,NO_ANNOT,,,PartialExact,0,"Icterus Brisson, 1760",Icterus,53FQ,1,Catalogue of Life,
23,Astur atricapillus,Astur atricapillus,1810,1828,10.58,2,NO_ANNOT,,,Exact,0,Astur atricapillus (Wilson 1812),Astur atricapillus,414501,172,PaleoBioDB,
24,Trochalopterum canorum skin.,Trochalopterum canorum skin,2139,2167,11.59,3,NO_ANNOT,,,PartialExact,0,Trochalopterum canorum,Trochalopterum canorum,3480919,168,ION,
25,Larus argentatus,Larus argentatus,2199,2215,12.41,2,NO_ANNOT,,,Exact,0,"Larus argentatus Pontoppidan, 1763",Larus argentatus,3SBPN,1,Catalogue of Life,
26,Spindalis pretrei,Spindalis pretrei,2270,2287,10.25,2,NO_ANNOT,,,Exact,0,Spindalis pretrei,Spindalis pretrei,3458300,168,ION,
27,Conurus wagleri,Conurus wagleri,2288,2303,12.02,2,NO_ANNOT,,,Exact,0,Conurus wagleri,Conurus wagleri,408454,183,Sherborn Index Animalium,
28,Rhamphastos ambiguus,Rhamphastos ambiguus,2304,2324,9.67,2,NO_ANNOT,,,Exact,0,Rhamphastos ambiguus,Rhamphastos ambiguus,3420060,168,ION,
29,Turtur turtur risoria,Turtur turtur risoria,2325,2346,11.75,3,NO_ANNOT,,,PartialExact,0,Turtur risoria,Turtur risoria,332966,183,Sherborn Index Animalium,
30,Lagonosticta larvata,Lagonosticta larvata,2347,2367,13.23,2,NO_ANNOT,,,Exact,0,"Lagonosticta larvata (Rüppell, 1840)",Lagonosticta larvata,3RXP5,1,Catalogue of Life,
31,Buteo albicaudata,Buteo albicaudata,2368,2385,11.45,2,NO_ANNOT,,,Fuzzy,2,"Buteo albicaudatus Vieillot, 1816",Buteo albicaudatus,5X669,1,Catalogue of Life,
32,Goura victoria.,Goura victoria,2386,2401,9.30,2,NO_ANNOT,,,Exact,0,"Goura victoria (Fraser, 1844)",Goura victoria,3H4WS,1,Catalogue of Life,
33,Sagittarius serpentarius.,Sagittarius serpentarius,2414,2439,11.21,2,NO_ANNOT,,,Exact,0,"Sagittarius serpentarius (J. F. Miller, 1779)",Sagittarius serpentarius,4TYT8,1,Catalogue of Life,
34,Callocephalon galeatum.,Callocephalon galeatum,2447,2470,12.11,2,NO_ANNOT,,,Exact,0,Callocephalon galeatum,Callocephalon galeatum,184875,183,Sherborn Index Animalium,
35,Phrynosoma,Phrynosoma,2652,2662,5.28,1,NO_ANNOT,,,Exact,0,"Phrynosoma Cope, 1878",Phrynosoma,87JPS,1,Catalogue of Life,
36,Anolis principalis,Anolis principalis,2704,2722,11.30,2,NO_ANNOT,,,Exact,0,Anolis principalis,Anolis principalis,313594,183,Sherborn Index Animalium,
37,Phrynosoma.,Phrynosoma,2837,2848,5.28,1,NO_ANNOT,,,Exact,0,"Phrynosoma Cope, 1878",Phrynosoma,87JPS,1,Catalogue of Life,
38,Rana palustris.,Rana palustris,2877,2892,8.12,2,NO_ANNOT,,,Exact,0,"Rana palustris LeConte, 1825",Rana palustris,78R5Z,1,Catalogue of Life,
39,Batrachia,Batrachia,2922,2931,4.42,1,NO_ANNOT,,,Exact,0,Conophytum sect. Batrachia Opel & S.A.Hammer,Batrachia,1008552-1,167,IPNI,
40,Rana clamata,Rana clamata,3352,3364,8.43,2,NO_ANNOT,,,Exact,0,"Rana clamata Latreille in Sonnini de Manoncourt & Latreille, 1801",Rana clamata,4RDM5,1,Catalogue of Life,
41,Acris gryllus,Acris gryllus,3380,3393,10.97,2,NO_ANNOT,,,Exact,0,"Acris gryllus (LeConte, 1825)",Acris gryllus,9KKK,1,Catalogue of Life,
42,Plethodon,Plethodon,3398,3407,4.18,1,NO_ANNOT,,,Exact,0,"Plethodon Tschudi, 1838",Plethodon,6SNZ,1,Catalogue of Life,
43,Acris gryllus,Acris gryllus,3457,3470,10.97,2,NO_ANNOT,,,Exact,0,"Acris gryllus (LeConte, 1825)",Acris gryllus,9KKK,1,Catalogue of Life,
