Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,20,28,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
1,Sonorella baboquivariensis depressa,Sonorella baboquivariensis depressa,213,248,15.16,3,SUBSP_NOV,,,Exact,0,"Sonorella baboquivariensis depressa Pilsbry & Ferriss, 1915",Sonorella baboquivariensis depressa,7V32S,1,Catalogue of Life,
2,Sonorella dragoonensis.,Sonorella dragoonensis,575,598,14.03,2,NO_ANNOT,,,Exact,0,"Sonorella dragoonensis Pilsbry & Ferriss, 1915",Sonorella dragoonensis,7T6S4,1,Catalogue of Life,
3,Sonorella apache.,Sonorella apache,660,677,6.78,2,NO_ANNOT,,,Exact,0,"Sonorella apache Pilsbry & Ferriss, 1915",Sonorella apache,7T6R6,1,Catalogue of Life,
4,Sonorella bartschi.,Sonorella bartschi,779,798,12.05,2,NO_ANNOT,,,Exact,0,"Sonorella bartschi Pilsbry & Ferriss, 1915",Sonorella bartschi,7T6RF,1,Catalogue of Life,
5,Sonorella sitiens.,Sonorella sitiens,856,874,12.28,2,NO_ANNOT,,,Exact,0,"Sonorella sitiens Pilsbry & Ferriss, 1915",Sonorella sitiens,7T6TY,1,Catalogue of Life,
6,Sonorella sitiens arida.,Sonorella sitiens arida,915,939,16.21,3,NO_ANNOT,,,Exact,0,"Sonorella sitiens arida Pilsbry & Ferriss, 1915",Sonorella sitiens arida,7V33J,1,Catalogue of Life,
7,Sonorella eremita.,Sonorella eremita,986,1004,12.28,2,NO_ANNOT,,,Exact,0,"Sonorella eremita Pilsbry & Ferriss, 1915",Sonorella eremita,7T6S6,1,Catalogue of Life,
8,Sonorella papagorum.,Sonorella papagorum,1050,1070,13.42,2,NO_ANNOT,,,Exact,0,"Sonorella papagorum Pilsbry & Ferriss, 1915",Sonorella papagorum,7T6TH,1,Catalogue of Life,
9,Sonorella santaritana.,Sonorella santaritana,1128,1150,13.72,2,NO_ANNOT,,,Exact,0,"Sonorella santaritana Pilsbry & Ferriss, 1915",Sonorella santaritana,7T6TW,1,Catalogue of Life,
10,Sonorella santaritana.,Sonorella santaritana,1214,1236,13.72,2,NO_ANNOT,,,Exact,0,"Sonorella santaritana Pilsbry & Ferriss, 1915",Sonorella santaritana,7T6TW,1,Catalogue of Life,
11,Sonorella santaritana.,Sonorella santaritana,1269,1291,13.72,2,NO_ANNOT,,,Exact,0,"Sonorella santaritana Pilsbry & Ferriss, 1915",Sonorella santaritana,7T6TW,1,Catalogue of Life,
12,Sonorella ivalkeri.,Sonorella ivalkeri,1335,1354,8.37,2,NO_ANNOT,,,PartialExact,0,"Sonorella Pilsbry, 1900",Sonorella,7PH3Y,1,Catalogue of Life,
