Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Acer,Acer,27,31,2.96,1,NO_ANNOT,,,Exact,0,Acer L.,Acer,MLD,1,Catalogue of Life,
1,Achatinella,Achatinella,36,47,6.49,1,NO_ANNOT,,,Exact,0,"Achatinella Swainson, 1828",Achatinella,7NMQT,1,Catalogue of Life,
2,Achyrodon,Achyrodon,80,89,4.18,1,NO_ANNOT,,,Exact,0,"Achyrodon Owen, 1871",Achyrodon,urn:lsid:irmng.org:taxname:1421589,181,IRMNG,
3,Aclis,Aclis,98,103,3.43,1,NO_ANNOT,,,Exact,0,"Aclis Lovén, 1846",Aclis,7NMS9,1,Catalogue of Life,
4,Aclisina,Aclisina,108,116,3.96,1,NO_ANNOT,,,Exact,0,"Aclisina de Koninck, 1881",Aclisina,7NMX4,1,Catalogue of Life,
5,Acrosoma,Acrosoma,121,129,4.94,1,NO_ANNOT,,,Exact,0,"Acrosoma Perty, 1833",Acrosoma,urn:lsid:irmng.org:taxname:1349614,181,IRMNG,
6,Adeorbis,Adeorbis,185,193,4.66,1,NO_ANNOT,,,Exact,0,"Adeorbis S. V. Wood, 1842",Adeorbis,urn:lsid:irmng.org:taxname:1195715,181,IRMNG,
7,Aetheria,Aetheria,198,206,4.68,1,NO_ANNOT,,,Exact,0,"Aetheria Agassiz, 1846",Aetheria,urn:lsid:irmng.org:taxname:1423855,181,IRMNG,
8,Agalena,Agalena,211,218,5.06,1,NO_ANNOT,,,Exact,0,"Agalena Thorell, 1870",Agalena,urn:lsid:irmng.org:taxname:1388525,181,IRMNG,
9,Agamonema,Agamonema,231,240,5.75,1,NO_ANNOT,,,Exact,0,"Agamonema Diesing, 1851",Agamonema,urn:lsid:irmng.org:taxname:1001161,181,IRMNG,
