Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Ypthima,Ypthima,399,406,3.87,1,NO_ANNOT,,,Exact,0,Ypthima,Ypthima,649CJ,1,Catalogue of Life,
1,Harima.,Harima,1147,1154,3.57,1,NO_ANNOT,,,Exact,0,"Harima Moore, 1892",Harima,urn:lsid:irmng.org:taxname:1411997,181,IRMNG,
2,"Harima,",Harima,1697,1704,3.57,1,NO_ANNOT,,,Exact,0,"Harima Moore, 1892",Harima,urn:lsid:irmng.org:taxname:1411997,181,IRMNG,
3,Ypthima,Ypthima,6595,6602,3.87,1,NO_ANNOT,,,Exact,0,Ypthima,Ypthima,649CJ,1,Catalogue of Life,
4,Insects),Insects,8044,8052,0.51,1,NO_ANNOT,,,Exact,0,Insects,Insects,3747023,168,ION,
5,Amphibia,Amphibia,8105,8113,3.70,1,NO_ANNOT,,,Exact,0,"Amphibia Stackhouse, 1809",Amphibia,7M,1,Catalogue of Life,
6,Lepidoptera,Lepidoptera,15731,15742,3.82,1,NO_ANNOT,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
7,Lepidoptera,Lepidoptera,17454,17465,3.82,1,NO_ANNOT,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
8,Lasiocampa,Lasiocampa,19317,19327,4.15,1,NO_ANNOT,,,Exact,0,Lasiocampa,Lasiocampa,5B3H,1,Catalogue of Life,
9,Spilosoma menthastri,Spilosoma menthastri,21386,21406,10.33,2,NO_ANNOT,,,Exact,0,Spilosoma menthastri,Spilosoma menthastri,255453,183,Sherborn Index Animalium,
10,"Anosia plexippus""",Anosia plexippus,21830,21847,9.76,2,NO_ANNOT,,,Exact,0,Anosia plexippus,Anosia plexippus,gn_2418048,170,Arctos,
11,Insects).,Insects,22464,22473,0.51,1,NO_ANNOT,,,Exact,0,Insects,Insects,3747023,168,ION,
12,Heirodula bipapilla,Heirodula bipapilla,23553,23572,12.12,2,NO_ANNOT,,,NoMatch,,,,,,,,
13,"Lucilia,",Lucilia,23653,23661,4.14,1,NO_ANNOT,,,Exact,0,Lucilia Cass.,Lucilia,5H5P,1,Catalogue of Life,
14,"Hemiptera,",Hemiptera,23714,23724,5.15,1,NO_ANNOT,,,Exact,0,Hemiptera,Hemiptera,HP,1,Catalogue of Life,
15,Physomerus.,Physomerus,23739,23750,5.60,1,NO_ANNOT,,,Exact,0,Physomerus,Physomerus,84S77,1,Catalogue of Life,
16,(Nephila),Nephila,23863,23872,3.74,1,NO_ANNOT,,,Exact,0,Nephila,Nephila,63FFB,1,Catalogue of Life,
17,(Ereiba diadema,Ereiba diadema,24233,24248,2.32,2,NO_ANNOT,,,NoMatch,,,,,,,,
18,Halia wauaria,Halia wauaria,24306,24319,9.55,2,NO_ANNOT,,,Exact,0,"Halia wauaria (Linnaeus, 1758)",Halia wauaria,9434865,11,GBIF Backbone Taxonomy,
