Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Notes,Notes,1309,1314,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
1,"Flagellata,",Flagellata,1635,1646,4.90,1,NO_ANNOT,,,Exact,0,Flagellata (awaiting allocation),Flagellata,urn:lsid:irmng.org:taxname:106960,181,IRMNG,
2,Scrophulariaceae,Scrophulariaceae,1675,1691,4.84,1,NO_ANNOT,,,Exact,0,Scrophulariaceae Juss.,Scrophulariaceae,G5R,1,Catalogue of Life,
3,Mollusca,Mollusca,1786,1794,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
4,Faunal,Faunal,1839,1845,1.19,1,NO_ANNOT,,,NoMatch,,,,,,,,
5,Trias,Trias,1863,1868,4.65,1,NO_ANNOT,,,Exact,0,Trias Lindl.,Trias,145106283,165,,
6,Microlepidoptera,Microlepidoptera,3419,3435,4.66,1,NO_ANNOT,,,Exact,0,Microlepidoptera,Microlepidoptera,117600,3,ITIS,
7,Lepidoptera,Lepidoptera,3586,3597,3.82,1,NO_ANNOT,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
8,Microlepidoptera.,Microlepidoptera,4561,4578,4.66,1,NO_ANNOT,,,Exact,0,Microlepidoptera,Microlepidoptera,117600,3,ITIS,
9,Geometridae,Geometridae,5019,5030,4.57,1,NO_ANNOT,,,Exact,0,Geometridae,Geometridae,6247J,1,Catalogue of Life,
10,"Heracleum lanatum,",Heracleum lanatum,5685,5703,10.93,2,NO_ANNOT,,,Exact,0,Heracleum lanatum Michx.,Heracleum lanatum,3KXDL,1,Catalogue of Life,
11,Lappula,Lappula,5736,5743,4.59,1,NO_ANNOT,,,Exact,0,Lappula Moench,Lappula,62XBL,1,Catalogue of Life,
12,Microlepidoptera,Microlepidoptera,5924,5940,4.66,1,NO_ANNOT,,,Exact,0,Microlepidoptera,Microlepidoptera,117600,3,ITIS,
13,Choreutis occidentella,Choreutis occidentella,6000,6022,13.24,2,NO_ANNOT,,,Exact,0,"Choreutis occidentella Dyar, 1900",Choreutis occidentella,5YBRP,1,Catalogue of Life,
14,Dyar.,Dyar,6023,6028,0.47,1,NO_ANNOT,,,Exact,0,"Schreiteria (Dyar) Dyar, 1937",Dyar,920457,2,Wikispecies,
15,Simaethis fahriciana var. ␤␤ alpinella,Simaethis fahriciana var. alpinella,6029,6067,13.29,3,NO_ANNOT,,,PartialFuzzy,1,Simaethis fabriciana,Simaethis fabriciana,167885,183,Sherborn Index Animalium,
16,Incurvariidae,Incurvariidae,6094,6107,4.90,1,NO_ANNOT,,,Exact,0,Incurvariidae,Incurvariidae,6257Z,1,Catalogue of Life,
17,Pterophoridae,Pterophoridae,6135,6148,6.51,1,NO_ANNOT,,,Exact,0,"Pterophoridae Zeller, 1841",Pterophoridae,FDC,1,Catalogue of Life,
18,Gnophaela latipennis var. vermiculata,Gnophaela latipennis var. vermiculata,6321,6358,21.35,3,NO_ANNOT,,,Exact,0,Gnophaela latipennis vermiculata,Gnophaela latipennis vermiculata,331244,168,ION,
19,"Coleoptera,",Coleoptera,6525,6536,3.70,1,NO_ANNOT,,,Exact,0,Coleoptera,Coleoptera,C2L,1,Catalogue of Life,
20,"Hy- ␤␤ menoptera,",Hymenoptera,6581,6598,5.44,1,NO_ANNOT,,,Exact,0,Hymenoptera,Hymenoptera,HYM,1,Catalogue of Life,
21,"Diptera,",Diptera,6668,6676,4.73,1,NO_ANNOT,,,Exact,0,Diptera Borkh.,Diptera,5T8Z6,1,Catalogue of Life,
22,Syr- ␤␤ phidae.,Syrphidae,6718,6733,5.90,1,NO_ANNOT,,,Exact,0,Syrphidae,Syrphidae,GVS,1,Catalogue of Life,
23,Coleoptera,Coleoptera,6738,6748,3.70,1,NO_ANNOT,,,Exact,0,Coleoptera,Coleoptera,C2L,1,Catalogue of Life,
24,Lepidoptera.,Lepidoptera,7572,7584,3.82,1,NO_ANNOT,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
25,Microlepidoptera,Microlepidoptera,7729,7745,4.66,1,NO_ANNOT,,,Exact,0,Microlepidoptera,Microlepidoptera,117600,3,ITIS,
26,"Coleophora,",Coleophora,7975,7986,6.23,1,NO_ANNOT,,,Exact,0,"Coleophora Steinbock, 1932",Coleophora,7NT9W,1,Catalogue of Life,
27,"Elachistidae,",Elachistidae,7987,8000,6.42,1,NO_ANNOT,,,Exact,0,Elachistidae,Elachistidae,623YG,1,Catalogue of Life,
28,"Incurvariidae,",Incurvariidae,8006,8020,4.90,1,NO_ANNOT,,,Exact,0,Incurvariidae,Incurvariidae,6257Z,1,Catalogue of Life,
29,Gelechiidae,Gelechiidae,8040,8051,4.57,1,NO_ANNOT,,,Exact,0,Gelechiidae,Gelechiidae,623VV,1,Catalogue of Life,
30,Cnephasia argentana,Cnephasia argentana,8222,8241,11.15,2,NO_ANNOT,,,Exact,0,"Cnephasia argentana (Clerck, 1759)",Cnephasia argentana,11037903,11,GBIF Backbone Taxonomy,
31,Pyla,Pyla,8328,8332,3.52,1,NO_ANNOT,,,Exact,0,Pyla,Pyla,75VZ,1,Catalogue of Life,
32,"Coleoptera,",Coleoptera,8782,8793,3.70,1,NO_ANNOT,,,Exact,0,Coleoptera,Coleoptera,C2L,1,Catalogue of Life,
33,Hymenoptera,Hymenoptera,8794,8805,5.44,1,NO_ANNOT,,,Exact,0,Hymenoptera,Hymenoptera,HYM,1,Catalogue of Life,
34,Diptera.,Diptera,8810,8818,4.73,1,NO_ANNOT,,,Exact,0,Diptera Borkh.,Diptera,5T8Z6,1,Catalogue of Life,
35,Gnorimoschema,Gnorimoschema,9115,9128,6.37,1,NO_ANNOT,,,Exact,0,Gnorimoschema,Gnorimoschema,62SL4,1,Catalogue of Life,
36,Syrphus,Syrphus,9513,9520,4.40,1,NO_ANNOT,,,Exact,0,Syrphus,Syrphus,7RL9,1,Catalogue of Life,
37,Syrphus,Syrphus,9623,9630,4.40,1,NO_ANNOT,,,Exact,0,Syrphus,Syrphus,7RL9,1,Catalogue of Life,
38,Lepidoptera,Lepidoptera,10406,10417,3.82,1,NO_ANNOT,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
39,"(Dyar,",Dyar,10466,10472,0.47,1,NO_ANNOT,,,Exact,0,"Schreiteria (Dyar) Dyar, 1937",Dyar,920457,2,Wikispecies,
40,Gelechiidae,Gelechiidae,11535,11546,4.57,1,NO_ANNOT,,,Exact,0,Gelechiidae,Gelechiidae,623VV,1,Catalogue of Life,
41,"Tineidae,",Tineidae,11741,11750,4.11,1,NO_ANNOT,,,Exact,0,Tineidae,Tineidae,62725,1,Catalogue of Life,
42,COSMOPTERYGIDAE.,Cosmopterygidae,11949,11965,5.09,1,NO_ANNOT,,,Exact,0,Cosmopterygidae,Cosmopterygidae,117915,3,ITIS,
43,Cyphophora tricristatella,Cyphophora tricristatella,11970,11995,13.75,2,NO_ANNOT,,,PartialExact,0,"Cyphophora Herrich-Schäffer, 1853",Cyphophora,urn:lsid:irmng.org:taxname:1395114,181,IRMNG,
44,Psacaphora deceptella,Psacaphora deceptella,12166,12187,13.46,2,SP_NOV,,,Exact,0,Psacaphora deceptella Braun 1921,Psacaphora deceptella,93979818,169,uBio NameBank,
45,Psacaphora sexstrigella,Psacaphora sexstrigella,13805,13828,13.66,2,SP_NOV,,,Exact,0,"Psacaphora sexstrigella Braun, 1921",Psacaphora sexstrigella,4528829,11,GBIF Backbone Taxonomy,
46,"Chamaenerion angustifolium,",Chamaenerion angustifolium,14900,14927,10.74,2,NO_ANNOT,,,Exact,0,Chamaenerion angustifolium (L.) Scop.,Chamaenerion angustifolium,7NFK8,1,Catalogue of Life,
47,Mompha unifasciella,Mompha unifasciella,15032,15051,12.27,2,NO_ANNOT,,,Exact,0,"Mompha unifasciella (Chambers, 1876)",Mompha unifasciella,gn_258293,186,MCZbase,
48,GELECHIIDAE.,Gelechiidae,15170,15182,4.57,1,NO_ANNOT,,,Exact,0,Gelechiidae,Gelechiidae,623VV,1,Catalogue of Life,
49,Aristotelia rubidella,Aristotelia rubidella,15320,15341,11.96,2,NO_ANNOT,,,Exact,0,"Aristotelia rubidella Clemens, 1860",Aristotelia rubidella,GQMT,1,Catalogue of Life,
