Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Pulmonata,Pulmonata,1255,1264,4.74,1,NO_ANNOT,,,Exact,0,"Pulmonata Cuvier, 1814",Pulmonata,51473,2,Wikispecies,
1,Partula,Partula,1315,1322,4.59,1,NO_ANNOT,,,Exact,0,"Partula A. Férussac, 1821",Partula,7PBZ7,1,Catalogue of Life,
2,Pulmo- ␤␤ nata,Pulmonata,1333,1347,4.74,1,NO_ANNOT,,,Exact,0,"Pulmonata Cuvier, 1814",Pulmonata,51473,2,Wikispecies,
3,"Acronycta oblinita,",Acronycta oblinita,1858,1877,11.43,2,NO_ANNOT,,,Exact,0,Acronycta oblinita Sm. & Abb.,Acronycta oblinita,4193223,168,ION,
4,"Guenee,",Guenee,1878,1885,1.36,1,NO_ANNOT,,,Exact,0,"Lepidodes (Guenée) Guenée, 1852",Guenee,1151280,2,Wikispecies,
5,Lepi- ␤␤␤␤doptera,Lepidoptera,1913,1930,3.82,1,NO_ANNOT,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,
6,Notes,Notes,2179,2184,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
7,Notes,Notes,2255,2260,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
8,"Ptiloris,",Ptiloris,2419,2428,4.89,1,NO_ANNOT,,,Exact,0,"Ptiloris Swainson, 1825",Ptiloris,753M,1,Catalogue of Life,
9,Micrastur,Micrastur,2671,2680,3.98,1,NO_ANNOT,,,Exact,0,"Micrastur G. R. Gray, 1841",Micrastur,63B8Y,1,Catalogue of Life,
10,Partula,Partula,3101,3108,4.59,1,NO_ANNOT,,,Exact,0,"Partula A. Férussac, 1821",Partula,7PBZ7,1,Catalogue of Life,
11,"Pulmonata.""",Pulmonata,3122,3133,4.74,1,NO_ANNOT,,,Exact,0,"Pulmonata Cuvier, 1814",Pulmonata,51473,2,Wikispecies,
12,"Pulmonata.""",Pulmonata,3225,3236,4.74,1,NO_ANNOT,,,Exact,0,"Pulmonata Cuvier, 1814",Pulmonata,51473,2,Wikispecies,
13,Dinosauria,Dinosauria,3782,3792,3.40,1,NO_ANNOT,,,Exact,0,"Dinosauria Owen, 1842",Dinosauria,7104,2,Wikispecies,
14,Testudinata.,Testudinata,3797,3809,3.41,1,NO_ANNOT,,,Exact,0,"Testudinata Joyce, Parham & Gauthier, 2004",Testudinata,1074073,2,Wikispecies,
15,"Dinosauria,",Dinosauria,3847,3858,3.40,1,SP_NOV,,,Exact,0,"Dinosauria Owen, 1842",Dinosauria,7104,2,Wikispecies,
16,"Cionodon stenopsis,",Cionodon stenopsis,3859,3878,11.52,2,SP_NOV,,,Exact,0,Cionodon stenopsis Cope 1875,Cionodon stenopsis,64356,172,PaleoBioDB,
17,"Compsemys ogmius,",Compsemys ogmius,3996,4013,11.59,2,NO_ANNOT,,,Exact,0,Compsemys ogmius (Cope 1875),Compsemys ogmius,70367,172,PaleoBioDB,
18,"Plastomej-ms coalescens,",Plastomej-ms coalescens,4023,4047,4.35,2,SP_NOV,,,NoMatch,,,,,,,,
19,"Plastomenus costatus,",Plastomenus costatus,4062,4083,13.61,2,SP_NOV,,,Exact,0,Plastomenus costatus Cope 1875,Plastomenus costatus,70368,172,PaleoBioDB,
20,Trionyx,Trionyx,4095,4102,4.04,1,NO_ANNOT,,,Exact,0,"Trionyx Gray, 1870",Trionyx,87L6K,1,Catalogue of Life,
21,Trionyx ␤␤ vagans.,Trionyx vagans,4113,4131,8.94,2,NO_ANNOT,,,Exact,0,Trionyx vagans (Cope 1874),Trionyx vagans,105818,172,PaleoBioDB,
22,Dinosauria,Dinosauria,4843,4853,3.40,1,NO_ANNOT,,,Exact,0,"Dinosauria Owen, 1842",Dinosauria,7104,2,Wikispecies,
23,"Plastomenus,",Plastomenus,5004,5016,6.05,1,NO_ANNOT,,,Exact,0,"Plastomenus Cope, 1873",Plastomenus,urn:lsid:irmng.org:taxname:1191253,181,IRMNG,
24,Clastes,Clastes,5400,5407,2.96,1,NO_ANNOT,,,Exact,0,Clastes,Clastes,3QJB,1,Catalogue of Life,
25,"Dinosauria,",Dinosauria,5764,5775,3.40,1,NO_ANNOT,,,Exact,0,"Dinosauria Owen, 1842",Dinosauria,7104,2,Wikispecies,
26,Notes.,Notes,6139,6145,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
27,Batrachia,Batrachia,7093,7102,4.42,1,NO_ANNOT,,,Exact,0,Conophytum sect. Batrachia Opel & S.A.Hammer,Batrachia,1008552-1,167,IPNI,
28,"Elaps,",Elaps,7334,7340,2.83,1,NO_ANNOT,,,Exact,0,"Elaps Werner, 1901",Elaps,8FYFP,1,Catalogue of Life,
29,E. distans,E. distans,7345,7355,4.85,2,NO_ANNOT,,,NoMatch,,,,,,,,
30,Ophibolus getulus,Ophibolus getulus,7559,7576,12.69,2,NO_ANNOT,,,Exact,0,"Ophibolus getulus Baird & Girard, 1853",Ophibolus getulus,2459181,11,GBIF Backbone Taxonomy,
31,Aspergillus glaucus.,Aspergillus glaucus,9565,9585,11.64,2,NO_ANNOT,,,Exact,0,Aspergillus glaucus (L.) Link,Aspergillus glaucus,HC3X,1,Catalogue of Life,
32,"Aspergillus dubius,",Aspergillus dubius,9784,9803,11.19,2,NO_ANNOT,,,Exact,0,Aspergillus dubius Corda,Aspergillus dubius,HBZY,1,Catalogue of Life,
33,"Asjjergillus nigrescens,",Asjjergillus nigrescens,9946,9970,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
34,(Fhasianus colchicus),Fhasianus colchicus,10019,10040,6.62,2,NO_ANNOT,,,Fuzzy,1,"Phasianus colchicus Linnaeus, 1758",Phasianus colchicus,4FWMN,1,Catalogue of Life,
35,A. nigrescens,A. nigrescens,11813,11826,6.21,2,NO_ANNOT,,,NoMatch,,,,,,,,
36,Articulata.,Articulata,12695,12706,3.29,1,NO_ANNOT,,,Exact,0,"Articulata Zittel, 1879",Articulata,87BRG,1,Catalogue of Life,
37,"LeConte,",Leconte,12780,12788,3.57,1,NO_ANNOT,,,Exact,0,Hypaetha (Leconte ),Leconte,4247785,168,ION,
38,Horatio,Horatio,13007,13014,2.43,1,NO_ANNOT,,,Exact,0,Horatia (Horatio) kusGeri,Horatio,2732431,168,ION,
39,Radiata.,Radiata,13127,13135,4.32,1,NO_ANNOT,,,Exact,0,Radiata Medik.,Radiata,23410-1,167,IPNI,
40,Horatio,Horatio,13773,13780,2.43,1,NO_ANNOT,,,Exact,0,Horatia (Horatio) kusGeri,Horatio,2732431,168,ION,
41,"Konig,",Konig,13833,13839,2.73,1,NO_ANNOT,,,Exact,0,Konig Adans.,Konig,12711-1,167,IPNI,
42,Larvae,Larvae,14705,14711,1.26,1,NO_ANNOT,,,Exact,0,Larvae,Larvae,2579193,168,ION,
43,Acro- ␤␤ nycta,Acronycta,14715,14729,5.16,1,NO_ANNOT,,,Exact,0,"Acronycta Treitschke, 1825",Acronycta,urn:lsid:irmng.org:taxname:1295639,181,IRMNG,
44,"Guenee.""",Guenee,14740,14748,1.36,1,NO_ANNOT,,,Exact,0,"Lepidodes (Guenée) Guenée, 1852",Guenee,1151280,2,Wikispecies,
45,Notes,Notes,14777,14782,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
46,Notes,Notes,14889,14894,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
47,Alermis ␤␤ acuminata^,Alermis acuminata,16212,16233,6.62,2,NO_ANNOT,,,NoMatch,,,,,,,,
48,Batrachia,Batrachia,18640,18649,4.42,1,NO_ANNOT,,,Exact,0,Conophytum sect. Batrachia Opel & S.A.Hammer,Batrachia,1008552-1,167,IPNI,
49,"Pleu- ␤␤ roptyx clavatus,",Pleuroptyx clavatus,18955,18980,11.71,2,NO_ANNOT,,,Exact,0,Pleuroptyx clavatus Cope 1875,Pleuroptyx clavatus,320832,172,PaleoBioDB,
50,Hyphasma,Hyphasma,19535,19543,4.99,1,NO_ANNOT,,,Exact,0,"Hyphasma Cope, 1875",Hyphasma,urn:lsid:irmng.org:taxname:1343642,181,IRMNG,
51,Notes,Notes,22244,22249,2.52,1,NO_ANNOT,,,Exact,0,Notes,Notes,3950760,168,ION,
52,Asca- ␤␤ ris mystax.,Ascaris mystax,22426,22446,8.71,2,NO_ANNOT,,,Exact,0,Ascaris mystax,Ascaris mystax,267480,183,Sherborn Index Animalium,
53,Ascaris leptotera^,Ascaris leptotera,23143,23161,11.57,2,NO_ANNOT,,,Fuzzy,1,Ascaris leptoptera,Ascaris leptoptera,230090,183,Sherborn Index Animalium,
54,A. mystax.,A. mystax,23203,23213,3.74,2,NO_ANNOT,,,NoMatch,,,,,,,,
55,"Browallia elata,",Browallia elata,25738,25754,11.30,2,NO_ANNOT,,,Exact,0,Browallia elata L.,Browallia elata,5WR96,1,Catalogue of Life,
56,Gavialis.,Gavialis,28573,28582,4.12,1,NO_ANNOT,,,Exact,0,Gavialis,Gavialis,4MHN,1,Catalogue of Life,
57,"Leptomylus,",Leptomylus,28748,28759,6.09,1,NO_ANNOT,,,Exact,0,"Leptomylus Cope, 1869",Leptomylus,urn:lsid:irmng.org:taxname:1396294,181,IRMNG,
58,Ischyodus solidulus)^,Ischyodus solidulus,28794,28815,12.09,2,NO_ANNOT,,,Exact,0,Ischyodus solidulus (Cope 1869),Ischyodus solidulus,362360,172,PaleoBioDB,
59,"Ischyodus,",Ischyodus,28816,28826,4.96,1,NO_ANNOT,,,Exact,0,"Ischyodus Egerton, 1843",Ischyodus,urn:lsid:irmng.org:taxname:1359830,181,IRMNG,
60,Leptomylus forfex^,Leptomylus forfex,28851,28869,10.16,2,NO_ANNOT,,,Exact,0,Leptomylus forfex Cope 1875,Leptomylus forfex,362356,172,PaleoBioDB,
61,Mammalia p]ducabilia.',Mammalia p�ducabilia,32660,32682,5.31,2,NO_ANNOT,,,PartialExact,0,"Mammalia Linnaeus, 1758",Mammalia,6224G,1,Catalogue of Life,
62,(Dicotyles),Dicotyles,33236,33247,3.33,1,NO_ANNOT,,,Exact,0,"Dicotyles G. Cuvier, 1817",Dicotyles,44SL,1,Catalogue of Life,
63,Hyopsodus,Hyopsodus,33431,33440,4.96,1,NO_ANNOT,,,Exact,0,"Hyopsodus Leidy, 1870",Hyopsodus,urn:lsid:irmng.org:taxname:1200662,181,IRMNG,
64,Antiacodon,Antiacodon,33530,33540,4.35,1,NO_ANNOT,,,Exact,0,"Antiacodon Marsh, 1872",Antiacodon,urn:lsid:irmng.org:taxname:1100479,181,IRMNG,
65,Pelycodus,Pelycodus,33646,33655,4.96,1,NO_ANNOT,,,Exact,0,"Pelycodus Cope, 1875",Pelycodus,urn:lsid:irmng.org:taxname:1345225,181,IRMNG,
66,"Viverridae,",Viverridae,34023,34034,6.06,1,NO_ANNOT,,,Exact,0,"Viverridae Gray, 1821",Viverridae,626SP,1,Catalogue of Life,
67,"Didymictis protenus,",Didymictis protenus,34080,34100,13.06,2,NO_ANNOT,,,Exact,0,Didymictis protenus (Cope 1874),Didymictis protenus,45733,172,PaleoBioDB,
68,Mesonyx,Mesonyx,34782,34789,4.04,1,NO_ANNOT,,,Exact,0,"Mesonyx Cope, 1872",Mesonyx,urn:lsid:irmng.org:taxname:1374157,181,IRMNG,
69,Insectivora,Insectivora,35030,35041,6.35,1,NO_ANNOT,,,Exact,0,Insectivora,Insectivora,623CC,1,Catalogue of Life,
70,Oxyaena,Oxyaena,35125,35132,5.06,1,NO_ANNOT,,,Exact,0,"Oxyaena Cope, 1874",Oxyaena,urn:lsid:irmng.org:taxname:1368852,181,IRMNG,
