Token	Lemma	POS	Tag	Dependency	Head	Ent Type	IsAlpha	IsPunct	IsStop
1892	1892	NUM	CD	ROOT	1892	DATE	False	False	False
.	.	PUNCT	.	ROOT	.		False	True	False
]	]	PUNCT	.	ROOT	]		False	True	False
NATURAL	natural	ADJ	JJ	compound	SCIENCES		True	False	False
SCIENCES	science	NOUN	NNS	ROOT	SCIENCES		True	False	False
OF	of	ADP	IN	prep	SCIENCES		True	False	True
PHILADELPHIA	PHILADELPHIA	PROPN	NNP	pobj	OF	GPE	True	False	False
.	.	PUNCT	.	punct	SCIENCES		False	True	False
357	357	NUM	CD	dep	"

"	CARDINAL	False	False	False
"

"	"

"	SPACE	_SP	ROOT	"

"		False	False	False
ECLOGAE	ECLOGAE	PROPN	NNP	compound	BOTANICAE		True	False	False
BOTANICAE	BOTANICAE	PROPN	NNP	attr	"

"		True	False	False
,	,	PUNCT	,	punct	BOTANICAE		False	True	False
NO	NO	PROPN	NNP	appos	BOTANICAE		True	False	True
.	.	PROPN	NNP	appos	BOTANICAE		False	True	False
1	1	NUM	CD	nummod	.		False	False	False
.	.	PUNCT	.	punct	BOTANICAE		False	True	False
"

"	"

"	SPACE	_SP	punct	BOTANICAE		False	False	False
by	by	ADP	IN	prep	BOTANICAE		True	False	True
edward	edward	PROPN	NNP	compound	greene	PERSON	True	False	False
l.	l.	PROPN	NNP	compound	greene	PERSON	False	False	False
greene	greene	PROPN	NNP	pobj	by	PERSON	True	False	False
.	.	PUNCT	.	punct	BOTANICAE		False	True	False
"



"	"



"	SPACE	_SP	ROOT	"



"		False	False	False
1	1	X	LS	ROOT	1	CARDINAL	False	False	False
.	.	PUNCT	.	punct	1		False	True	False
New	new	ADJ	JJ	amod	Thistles		True	False	False
or	or	CCONJ	CC	cc	New		True	False	True
Noteworthy	noteworthy	ADJ	JJ	conj	New		True	False	False
Thistles	thistle	NOUN	NNS	ROOT	Thistles		True	False	False
.	.	PUNCT	.	punct	Thistles		False	True	False
"
"	"
"	SPACE	_SP	punct	elapsed		False	False	False
Eighteen	eighteen	NUM	CD	nummod	years	DATE	True	False	False
years	year	NOUN	NNS	nsubj	elapsed	DATE	True	False	False
have	have	AUX	VBP	aux	elapsed		True	False	True
now	now	ADV	RB	advmod	elapsed		True	False	True
elapsed	elapse	VERB	VBN	ROOT	elapsed		True	False	False
since	since	SCONJ	IN	mark	published		True	False	True
Professor	Professor	PROPN	NNP	compound	Gray		True	False	False
Asa	Asa	PROPN	NNP	compound	Gray	PERSON	True	False	False
Gray	Gray	PROPN	NNP	nsubj	published	PERSON	True	False	False
published	publish	VERB	VBD	advcl	elapsed		True	False	False
his	his	PRON	PRP$	poss	Synopsis		True	False	True
""""	""""	PUNCT	``	punct	Synopsis		False	True	False
Synopsis	Synopsis	PROPN	NNP	dobj	published	WORK_OF_ART	True	False	False
of	of	ADP	IN	prep	Synopsis	WORK_OF_ART	True	False	True
North	north	ADJ	JJ	amod	American	WORK_OF_ART	True	False	False
American	american	ADJ	JJ	amod	Thistles	WORK_OF_ART	True	False	False
Thistles	Thistles	PROPN	NNP	pobj	of	WORK_OF_ART	True	False	False
.	.	PUNCT	.	punct	elapsed		False	True	False
"
"	"
"	SPACE	_SP	ROOT	"
"		False	False	False
""""	""""	PUNCT	''	ROOT	""""		False	True	False
^	^	PUNCT	NFP	punct	enumerated		False	False	False
In	in	ADP	IN	prep	enumerated		True	False	True
that	that	DET	DT	det	paper		True	False	True
paper	paper	NOUN	NN	pobj	In		True	False	False
about	about	ADP	IN	advmod	thirty	CARDINAL	True	False	True
thirty	thirty	NUM	CD	nummod	species	CARDINAL	True	False	False
species	specie	NOUN	NNS	nsubjpass	enumerated		True	False	False
were	be	AUX	VBD	auxpass	enumerated		True	False	True
