Sileie acaulis
Arenaria groenlandica
Prenanthes bootii
Cassiope hypnoides
Bryanthus taxifolius
Diapensia lapponica
Oxyria digyna
Salix phylicifolia
Salix
Salix herbacea
Phleum alpinum
Lycopodium selago
Ammophila arundinacea
Sabbatia angularis
Lathyrus
Hudsonia tomentosa
Cakile americana
Hibiscus moscheutos
Gerardia purpurea
Euphorbia polygonifolia
Myrica cerifera
Strophostyles peduncularis
Hudsonia ericoides
Ascyrum
Arenaria squarrosa
Polygala lutea
Tephrosia virginiana
Desmodium viridiflorum
Rubus
Crataegus parvifolia
Eupatorium rotundifolium
Aster concolor
Chrysopsis mariana
Gnaphalium purpureum
Gaylussacia dumosa
Andromeda mariana
Kalmia angustifolia
Ipomoea pandurata
Phlox suhulata
Eupliorhia ipecacuanha
Quercus nigra
Quercus prinoides
Quercus phellos
Spiranthes simplex
Juncus scirpoides
Xyris flexuosa
Cyperus cylindricus
Stipa
Glyceria ohtusa
Panicum verrucosum
Andropogon macrourus
Lycopodium inundatum
Desmodium viridiflorum
Rubus cuneifolius
Ipomoea pandurata
Phlox subulata
Drosera filiformis
Ascyrum stans
Eupatorium hyssopifolium
Eupatorium leucolepis
Eupatorium album
Aster spectabilis
Solidago puberula
Chrysopsis falcata
Helianthus angustifolia
Coreopsis rosea
Utricidaria subulata
Cupressus thyoides
Juncus pelocarpus
Xyris caroliniana
Eleocharis melanocarpa
Sporobolus serotinus
Juncus greenii
Solidago puberula
Orontium aquaticum
Tephrosia virginiana
Lespedeza hirta
Lupinus perennis
Quercus ilicifolia
Corema conradii
Polygala polygama
Gerardia pedicularia
Lechea racemulosa
Prumis pumila
Juncus militaris
Lycopodium inundatum
Vibwnium nudum
Aster linariifolius
Quercus ilicifolia
Gaylussacia resinosa
G. frondosa
Vaccinium vacillans
Epigcea repens
Gaultheria procumbens
Cassandra calyculata
Rhododendron viscosum
Pinus rigida lill
Quercus ilicifolia
Solidago puberula
Tephrosia virginiana
Lespedeza hirta
Arctostaphylos
Aster linariifolius
Pinus rigida
Rhododendron maximum
Picea nigra
Larix americana
Kalmia glauca
Ledum latifolium
Rhododendron rhodora
Quercus ilicifolia
Pinus rigida
Gaylussacia resinosa
Vaccinium vacillans
Epigcea repens
Gaultheria procumbens
Kcdmia angustifolia
Lilium
Amianthium musccbtoxicum
Lycopodium inundatum
Hibiscus moscheutos
Hudsonia montana
Hudsonia montana
Leiophyuum buxifolium
Xerophyllum asphodeloides
Amianthium rnusccbtoxicum
Uniola paniculata
Batatas littoralis
Cakile maritima
Agave decipiens
Pinus
Sabal
Serenoa
Coccothrinax
Zamia floridana
Pledopylis hirasei
Diplommatina vespa
Azuma
Sitala rimicola
Clausilia azumai
Japonia tokunoshimana
Alycseus purus
Alycaeus tokunoshimanus
A. purus
Alyoseus laevicervix
A. satsumanus
Pupinella oshimae tokunoshimana
Cyolotus nudus
C. minutus
Cyathopoma iota
C. innocens
Cyclotus micron
Jerdonia
Cyclotus
Cyathopoma
Jerdonia
Adelopoma
Diplommatina
Angigaster
D. vespa
Diploma matina sculptilis
D. vespa
Diplommatina tosana
Tosa
D. cassa
Diplommatina tosanella
Tosa
D. cassa
Diplommatina gibbera
Tosa
Diplommatina goniobasis
Tosa
Tosa
Tosa
Diplommatina kyushuensis
D. cassa
D. cassa
Diplommatina tokunoshimana
Diplommatina ventriosa
Diplommatina kumejimana
Diplommatina lateralis
Diplommatina immersidens
Diplommatina vespa
D. everetti
Paradiancta
Diancta
Metadiancta
D. lateralis
Diplommatina
Helicina verecunda degener
H. verecunda
Eulota
Egista friedeliana var. humerosa
E. friedeliana goniosoma
Eulota
Jegista omma
E. omma
E. omma
Eulota
Euhadra okinoerabuensis
E. mercatoria
E. submandarina
Eulota callizona montivaga
Tosa
Eulota
Acusta despecta ikiensis
Eulota
Acusta despecta
E. sieholdiana
E. despecta
E. sieholdiana
E. despecta
E. sieholdiana
E. despecta
Eulota nioyaka
Toba
E. commoda
Trishoplita nitens
Cmoritis obscurus
Chloritis tosanus osumiensis
C. tosanus
Ganesella tokunoshimana
G. sororcula
G. largillierti
Ganesella myomphala okinoshimana
G. myomphala
Tosa
Ganesella selasia textilis
G. selasia
Tosa
Ganesella selasia zonata
G. selasia
Tosa
G. selasia
G. wiegmanniana
G. ferruginea
Ennea iwakawa miyakojimana
Vertigo hirasei glans
V. hirasei
Vertigo hirasei okinoerabuensis
V. hirasei
V. hirasei
Pupa insulivaga
P. minutissima
Trochomorpha cultrata
T. gouldiana
T. horiomphala
Trochomorpha cultrata esuritor
T. cultrata
Sitala insignis
Tosa
Sitala
Sitala latissima conica
S. latissima
Kaliella
K. bimaris
Kaliella
Kaliella humiliconus
K. sororcula
K. higashiyamana
Kaliella okiuoshimana
Tosa
K. sororcula
K. humiliconus
Kaliella bimaris
K. pagoduloides
K. modesta
Kaliella gudei persubtilis
Zaptyx
Eulota submandarina
Kaliella pallida
Microcystina vaga
Microcystina lampra
M. vaga
M. yakuensis
M. vaga
M. lampra
M. yakuensis
M. yakuensis
M. nuda
M. hilgendorfii
M. circumdata
Maorocmamys dulcis koshikijimana
M. dulcis
M. dulcis
Maorocmamys subelimatus
Microcystina
Macrochlamys gudei inclytus
M. gudei
Zonitoides apertus
Hirasea insignis
Ogasawara
Brazieria
Punctum atomus
Punctum rota
P. morseanum
Opeas brevispira
Harima
Opeas kyotoensis
Opeas obesispira
