Mollusca
Crustacea
Birgus latro
Truncatella valida
Conus catus
F. eburneus
F. retifer
F. vitulinus
Glyphostoma
Murex rubesceus
Murex laqueatus
Maculotriton bradeatus
Purpura armigera
C. bitubercularis
Ricinula horrida
C. ricinus
C. elegans
Ricinula digitaia
C. marginatra
Topas sertum
Vexilla tmiiata
Harpa minor
Cyprcea arabica
F. araneosa
C. carneola
F. cicercula
F. cumingi
C. irrorata
C. madagascariensis
F. moncta
C. poraria
C. reticulata
C. scurra
F. tabescens
Ovula lactea
Pterocera scorpio
Strombus macidatus
F. urceus
Aqudlus chlorostoma
C. pilearis
C. rubeculus
F. tuberosus
Ranella afjinis
C. bufonia
Cassis rufa
Dolium perdix
Cerithium nesioticum
F. patiens
C. rubus
Clara obeliscus
Mitrularia equestris cicatricosa
Natica marochiensis
Polymices melanostoma
Littorina obesa
Risella
Modulus tectum
C. lanthina ianthina
Fasciolaria filamentosa
Latirtis aplustre
Nerita undata
C. polita
C. plicata
Liotia voyi
Turbo argyrostomus
Astmlium petrosum
Truncatella valida
Melampus luteus
Pinna semicostata
Tellina dispar
C. scobinata
Crista pectinata
Trapezium oblongum
Tridac�ia gigas
Liotia voyi
Liotia
L. crenata
L. voyi
L. voyi
L. crenata
L. crenata
Delphintda crenata
